	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR069C	5082.9752463536	-4.37604392775141	0.100732502006975	-43.4422241140044	0.0	0.0	TAT1	Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress
YBR294W	11348.2377065836	5.26602984739919	0.120442580487956	43.7223266561096	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YCL025C	2420.13239053779	-4.52154216540209	0.114890607872968	-39.3551940329314	0.0	0.0	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication
YFR030W	8024.56611945919	3.41300567444182	0.0908141057121701	37.5823298338601	0.0	0.0	MET10	Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide
YGR234W	22517.9297804038	-4.82840214317401	0.108975420389095	-44.3072587004872	0.0	0.0	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YJL133C-A	8026.31671654562	5.80953978043404	0.12530760678027	46.3622275591075	0.0	0.0	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YJR010W	6348.32975149252	4.02664674862348	0.0951253934300193	42.3298827309004	0.0	0.0	MET3	ATP sulfurylase; catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YJR137C	8835.98765854615	3.03458112546195	0.0730783826891939	41.5250175741872	0.0	0.0	MET5	Sulfite reductase beta subunit; involved in amino acid biosynthesis, transcription repressed by methionine
YJR152W	11923.6566391085	5.92314574644838	0.113042021796913	52.3977336241354	0.0	0.0	DAL5	Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression
YKL001C	5560.76483882855	3.80303459721009	0.0948332638736667	40.102327409888	0.0	0.0	MET14	Adenylylsulfate kinase; required for sulfate assimilation and involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
