	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR342C	3691.96801056708	-8.66948832910172	0.225796462091671	-38.3951468893343	0.0	0.0	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YGL009C	6591.39302160113	-3.08119149308541	0.0788358916836015	-39.0836131523876	0.0	0.0	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YHR092C	21856.2284348802	-8.46340679653463	0.16671019708117	-50.7671812805418	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YLR174W	2107.51648997579	-5.0013547651451	0.130005731544016	-38.4702636241219	0.0	0.0	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YMR011W	19556.4279646792	-5.23619147023176	0.123652353052921	-42.3460722012364	0.0	0.0	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YMR303C	7285.11791913816	-5.31596665261295	0.137007791720299	-38.8004695635521	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YDR277C	1575.96320783468	-4.85957512993901	0.132503359782229	-36.675108751399	1.82136214478939e-294	1.6902240703645503e-291	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YPL134C	1497.12605459467	-3.24136855661369	0.0939095957328727	-34.5158397426586	4.64162895354857e-261	3.76900271028144e-258	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YJR121W	15251.3214934248	-2.33647929649373	0.0701268484631308	-33.3178996019212	2.12585847854765e-243	1.5343974085161702e-240	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YKR075C	2654.68857475399	-4.95221676907901	0.148806720980207	-33.2795235084692	7.63849494971379e-243	4.961966319334081e-240	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YBL045C	5802.83572559678	-2.62511755374408	0.0794633005782625	-33.0355967426577	2.5048276397945603e-239	1.4792145771005e-236	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YPR191W	4182.58424556854	-2.52162110860763	0.0809601731018133	-31.14643919346	5.66761352606015e-213	3.06806812210723e-210	QCR2	Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme
YBR039W	4810.67422305652	-2.22905750995754	0.0740825565082658	-30.0888308263071	6.78365705779621e-199	3.3897412498034e-196	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YFR033C	2577.18898081674	-2.41932839615014	0.0812863387185325	-29.7630380982895	1.1759840317758999e-194	5.45656590744018e-192	QCR6	Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space
YBL030C	9407.93766630019	-2.11334556798163	0.0719311012976212	-29.3801364063297	9.85219941740708e-190	4.26665916103176e-187	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant
YJR095W	2443.98975553323	-7.69728539170266	0.262662962575387	-29.3047992615002	9.00922417696609e-189	3.6577450158482303e-186	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YNL117W	1061.82737001551	-4.99043621933732	0.170748122801962	-29.2268877539893	8.8327453201254e-188	3.3751478587961495e-185	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YGL187C	1999.88961989456	-2.63477861467827	0.0927314765662752	-28.4129910602167	1.39746272615901e-177	5.0432877050716297e-175	COX4	Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation
YLR377C	2151.58571996802	-5.51101365147297	0.198247232648105	-27.7986914513717	4.49862777686276e-170	1.5380571599210802e-167	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YKL217W	2007.51978521242	-5.01613028328868	0.182238645569053	-27.5250634552592	8.80172303389174e-167	2.8587996414080398e-164	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YOR375C	5961.31085319757	-2.52547604180936	0.095675039823664	-26.3963939441676	1.50721527360663e-153	4.6623192463565205e-151	GDH1	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources; GDH1 has a paralog, GDH3, that arose from the whole genome duplication
YMR145C	5665.84836756473	-2.8480081123671	0.107966056705065	-26.3787360517122	2.4033889643624397e-153	7.096552142044751e-151	NDE1	Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication
YDR298C	3109.12216754152	-2.0362963139052	0.0773411047537492	-26.3287720079598	8.98458568744745e-153	2.53755950546342e-150	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YDL215C	3832.23443938411	-2.87719583746213	0.109362983391444	-26.3086809470419	1.5257065867108801e-152	4.12957916136412e-150	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YDR461W	1817.43331808133	2.4111095663022	0.0917103707179752	26.2904789003281	2.4641672918580103e-152	6.40289229116386e-150	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YDR529C	2631.2937905114	-2.16313161670529	0.0826062631974182	-26.186048526801	3.8317021508873106e-151	9.573360450832311e-149	QCR7	Subunit 7 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly
YIL162W	6929.31447156744	-3.96232537881411	0.153205927293265	-25.8627420545516	1.74929200721736e-147	4.2086669921792505e-145	SUC2	Invertase; sucrose hydrolyzing enzyme; a secreted, glycosylated form is regulated by glucose repression, and an intracellular, nonglycosylated enzyme is produced constitutively
YJL153C	5185.56016109357	-6.57745619721219	0.255581967244284	-25.7352123396307	4.71944273363361e-146	1.094910714203e-143	INO1	Inositol-3-phosphate synthase; involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element
YBL043W	456.972534109312	-3.8494293346643	0.152090831512049	-25.3100683084853	2.4748272709818998e-141	5.54361308699946e-139	ECM13	Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication
YBR297W	555.926094503704	-3.18471942639962	0.126824430589543	-25.1112456140781	3.74833984391936e-139	8.1164052087000595e-137	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YKL016C	3251.77836934425	-2.07368768565433	0.0829187008073112	-25.0086851996538	4.91832513442471e-138	1.03062709913622e-135	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
