	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YER091C	9075.60968563499	1.98244006882429	0.0522874297536596	37.9142764936831	0.0	0.0	MET6	Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs
YFR053C	1758.61887412071	-4.04544715899362	0.0948692152149052	-42.6423592714408	0.0	0.0	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YOR374W	1684.5907409626	-2.78223981741329	0.0882646857458445	-31.5215512739111	4.40167949144099e-218	8.70212035457884e-215	ALD4	Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol; human homolog ALDH2 can complement yeast ald4 mutant
YOL155C	1999.88143464967	-2.48095121842735	0.079303422744883	-31.2842892848208	7.63307227513915e-215	1.13179379159626e-211	HPF1	Haze-protective mannoprotein; reduces the particle size of aggregated proteins in white wines
YEL071W	4461.24891196935	2.0112744831248	0.065358240979037	30.7730816037398	6.00707985026755e-208	7.12559811838737e-205	DLD3	2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm
YKL096W	4039.52316815934	-1.99123548678928	0.0676032293360502	-29.454739164767	1.09476807572154e-190	1.08217824285074e-187	CWP1	Cell wall mannoprotein that localizes to birth scars of daughter cells; linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance
YGR254W	6964.00290073146	-1.48091757520542	0.0520393986226926	-28.4576227704454	3.92184120578749e-178	3.3229200273607997e-175	ENO1	Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication
YJR121W	7616.27877167134	-1.46927063048207	0.0539128991817553	-27.2526733449958	1.54493685457669e-163	1.14537756056179e-160	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YGR234W	4533.09035429114	-1.6484574144616	0.062185069451569	-26.5088939997961	7.65431242258358e-155	5.04419188648258e-152	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YBL030C	5105.93350792871	-1.49256435284532	0.0564590326709163	-26.4362367230954	5.25324230252324e-154	3.1156980096265304e-151	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant
YDR074W	2220.49327054306	-2.0178508217886	0.0775815705825856	-26.0094092789807	3.87587257613037e-149	2.08980002263902e-146	TPS2	Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress
YBL045C	2666.83514198291	-1.77628372785114	0.0688459266246328	-25.8008543851249	8.67347567220543e-147	4.2868653509875304e-144	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
YBR067C	6026.12612910013	-1.49691062776495	0.0602188961625823	-24.857822430413	2.12831152794731e-136	9.71001205558116e-134	TIP1	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YNL036W	2444.00522396614	-1.76276458439909	0.0720634935262608	-24.4612701680458	3.8183424767320305e-132	1.6176135163926898e-129	NCE103	Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress
