	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	10828.2852591029	5.92243491005336	0.123193342053656	48.074309953162	0.0	0.0	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YPL019C	3317.85617695358	3.50898694877211	0.124075450485369	28.2810736132358	5.907267975910519e-176	1.91631773138537e-172	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YOR065W	2197.17246683888	2.18832697915046	0.0843654369998163	25.9386670296656	2.44089108246321e-148	5.2788337810071e-145	CYT1	Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex
YHR136C	498.970179118089	6.57527504311021	0.295457538570857	22.2545516181958	1.01907396418255e-109	1.6529379699041e-106	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YHR215W	1048.52321786084	4.73224085773874	0.212818026104973	22.2360903554502	1.5378688983539401e-109	1.99553868250407e-106	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YKL109W	1155.04051202004	2.82129226479664	0.129385435871179	21.8053310699175	2.06507215366744e-105	2.23303135549905e-102	HAP4	Transcription factor; subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; provides the principal activation function of the complex; involved in diauxic shift
YLR348C	1188.95396317051	-2.12350974026174	0.0975463168869844	-21.7692457083952	4.5404071886381e-105	4.20830883426915e-102	DIC1	Mitochondrial dicarboxylate carrier; integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix
YKL150W	2126.27655915569	1.63571677353341	0.0769955072245089	21.2443145385597	3.72093490321618e-100	3.0176782065083203e-97	MCR1	Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis
YNL055C	8427.77392534489	1.88285694334688	0.0889418561193496	21.1695260870237	1.82382089226633e-99	1.31477221655822e-96	POR1	Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; interacts with Om45 and Om14 in the outer membrane; phosphorylated; protein abundance increases in response to DNA replication stress
YDR028C	749.897356297103	8.36820697894024	0.400339776179525	20.9027617959892	5.05349586558188e-97	3.27870811758952e-94	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
