	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	11562.4223783422	-7.27122210784846	0.134670013145336	-53.9928818452058	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YDR277C	1512.25119591732	-4.78119343637383	0.164688198420055	-29.0317914838007	2.6127884563472096e-185	8.6757640693009e-182	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YDL215C	4152.93018697427	-2.86668620903047	0.102755539314661	-27.8981184678718	2.8120465709613303e-171	6.224933759251389e-168	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YMR011W	25363.5708764717	-5.28388963717571	0.214558728155698	-24.6267755341157	6.52798353430423e-134	1.08380846628286e-130	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YBR297W	859.361778079115	-4.09945365585717	0.194210013659594	-21.1083536765647	6.66543099746058e-99	8.85302545082714e-96	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YNL104C	4290.24685371196	-1.32941911529349	0.0641568141995953	-20.7214016450006	2.22124267193936e-95	2.4585454307248797e-92	LEU4	Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication
YKR075C	2772.51161237268	-4.61276884678269	0.22449585966549	-20.5472334931074	8.14760668670432e-94	7.72975085805763e-91	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YBR296C	565.4982041308	-5.24098003740743	0.259960300777389	-20.1606938510793	2.16820259088507e-90	1.79987917575847e-87	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YLR174W	1201.48360828394	-4.71571231153993	0.235579833304405	-20.017470279158	3.87923540302556e-89	2.86244470127697e-86	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YPL134C	1175.57439929819	-2.58135254285468	0.139782055406975	-18.466980867745	3.80794282855952e-76	2.52885483244638e-73	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
