	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YNL145W	2516.95630716977	8.62346853076065	0.283249503169164	30.4447790173545	1.40453643714235e-203	9.28398584951091e-200	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YFL026W	4422.00801137301	6.92619234357328	0.238874052168267	28.9951641072106	7.57130199863264e-185	2.50231531054809e-181	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YDL215C	3583.95728443403	-3.20157576187672	0.112029825738411	-28.5778875471285	1.2652351426598199e-179	2.78773476432714e-176	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YKL178C	1333.42061242517	-5.50224093746266	0.211035673887084	-26.0725631648736	7.46591776300927e-150	1.23374291033728e-146	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YDR461W	1462.98015979901	8.04898717241511	0.31942963614163	25.197997498411	4.21331342033233e-140	5.57000034167934e-137	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YIL015W	1674.50813219584	5.41764953587836	0.218339510150622	24.8129600187386	6.49676968048416e-136	7.15727459800005e-133	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YLR040C	1440.39239526583	-2.99154688977379	0.127214936953978	-23.5156889702034	2.81879094888026e-122	2.6617440245855e-119	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YPL134C	1004.29941181836	-2.98529012785703	0.137004463563944	-21.7897289635655	2.90364063472874e-105	2.39913307444462e-102	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YPL187W	7461.9610488272	-10.4891189619351	0.505254527005794	-20.7600692349954	9.94233475258169e-96	7.30209252384055e-93	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YGL032C	516.855094527665	7.52592856476484	0.383495974274877	19.624530815467	9.54542030755917e-86	6.30952282329661e-83	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
