	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YKL209C	1397.52648123935	-4.82989742451831	0.148123526332638	-32.6072268470837	3.2395735872643303e-233	2.1018353434171e-229	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL145W	2452.15053145361	-8.59753698857988	0.301675696373489	-28.499269553142	1.1961006021097999e-178	3.88015035324419e-175	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YIL015W	1634.73533961471	-5.31388799263801	0.236782190945298	-22.442093180334	1.52877490965538e-111	3.3062305379480198e-108	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YFL026W	4330.73526833635	-6.1908911437185	0.277476751731984	-22.3113868281776	2.8647519105215e-110	4.64662759886587e-107	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL178C	933.868282283929	5.01292024469649	0.247477719598056	20.2560466972069	3.14200878615923e-91	4.07707060092022e-88	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YBR039W	3741.79668055609	1.73757400245706	0.0953297465595809	18.2269864881166	3.15218648814361e-74	3.40856432251262e-71	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YLR040C	1144.66623653868	2.65720217622489	0.164735052887391	16.1301564521382	1.5662318656100501e-58	1.4516731920111399e-55	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YJR121W	11699.3657854747	1.45828841397134	0.0956542112761938	15.2454177867888	1.76599729835045e-52	1.3731321745983099e-49	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YPL187W	7188.49428580581	10.4730189159328	0.687184503001726	15.2404759859763	1.90477644441812e-52	1.3731321745983099e-49	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YBL045C	3501.95372156758	1.73584077518723	0.122818196418614	14.1334169187014	2.36390268849669e-45	1.5337000642966497e-42	COR1	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
