	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YAR071W	8272.3770033586	-7.76687862495772	0.170193751889987	-45.6355097570106	0.0	0.0	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YBR093C	57223.4854665318	-7.98671417290839	0.0958181593753678	-83.3528239842348	0.0	0.0	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YBR296C	24210.7900555344	-6.32934330959891	0.0822886964863789	-76.9163151180381	0.0	0.0	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YCR010C	10982.4083842005	7.16862660688963	0.115167040074943	62.2454705984003	0.0	0.0	ADY2	Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication
YDR256C	6846.63244173166	4.33129348222305	0.0867260409718193	49.942248414527	0.0	0.0	CTA1	Catalase A; breaks down hydrogen peroxide in the peroxisomal matrix formed by acyl-CoA oxidase (Pox1p) during fatty acid beta-oxidation
YDR343C	3199.28206658493	6.29244495189387	0.135199235220592	46.5420158747724	0.0	0.0	HXT6	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication
YER072W	17171.4104319112	-3.16114911577936	0.0804399484997431	-39.2982488767935	0.0	0.0	VTC1	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress
YER103W	26538.5993851366	5.27806621070175	0.115694427040961	45.6207472191644	0.0	0.0	SSA4	Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog, SSA3, that arose from the whole genome duplication
YFR053C	44949.0671211909	3.9714618051815	0.0655802611088594	60.5587983034882	0.0	0.0	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YGR236C	3713.93715644133	7.70480354249885	0.172732565451149	44.6053905491138	0.0	0.0	SPG1	Protein required for high temperature survival during stationary phase; not required for growth on nonfermentable carbon sources; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
