	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR093C	75155.1026577522	7.89926003878327	0.164153169788642	48.1212762991666	0.0	0.0	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YHR215W	16767.7325052426	7.48952718178017	0.169349784699073	44.225194588164	0.0	0.0	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YML123C	49954.3277925938	6.57491405419864	0.12318986545598	53.3721993271278	0.0	0.0	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YPL187W	45231.5084094045	11.9670890380032	0.284987347473206	41.9916503104696	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YHR136C	4674.69475484252	8.35683668095199	0.23698907780147	35.2625393477106	2.20425485917333e-272	2.8822836538550402e-269	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YAR071W	12661.2329746289	7.41726521427728	0.219205423785793	33.8370515025459	5.62719948270507e-251	6.13177170298763e-248	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YKL178C	7060.88904772604	6.0337316817874	0.180183294857739	33.4866319685809	7.544698352784601e-246	7.04674826150081e-243	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YLR040C	5153.31244885698	3.98136551589967	0.141538457441694	28.1292136982613	4.30430061976521e-174	3.51768968150312e-171	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YBR296C	33011.4163607893	9.38692866002291	0.350646785161262	26.7703257444836	7.16206635014101e-158	5.202843310802441e-155	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YDR461W	5341.02674385094	-6.44903744548305	0.243898623533458	-26.4414671639111	4.57387765579003e-154	2.9904012113555204e-151	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
