	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR068C	5419.50583326725	4.58649540326751	0.0975728176200461	47.0058722822536	0.0	0.0	BAP2	High-affinity leucine permease; functions as a branched-chain amino acid permease involved in uptake of leucine, isoleucine and valine; contains 12 predicted transmembrane domains; BAP2 has a paralog, BAP3, that arose from the whole genome duplication
YBR069C	3267.55285576639	3.75569080603228	0.0912429157273967	41.1614510133918	0.0	0.0	TAT1	Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress
YBR291C	2812.9762974566	-3.34775437460924	0.0891396488298536	-37.5562885714224	0.0	0.0	CTP1	Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family
YBR294W	10987.4800931649	-5.07472019750375	0.10803501419422	-46.9729210974202	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YCL064C	4296.44717626834	5.30826736512025	0.0985290562164595	53.8751467735412	0.0	0.0	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YCR021C	9774.97755844135	6.18329394996658	0.114564550875726	53.9721397474328	0.0	0.0	HSP30	Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase
YDR046C	3232.11576966584	6.00029684539893	0.129595416127468	46.3002243805994	0.0	0.0	BAP3	Amino acid permease; involved in uptake of cysteine, leucine, isoleucine and valine; BAP3 has a paralog, BAP2, that arose from the whole genome duplication
YER053C	5259.80640652555	4.16935035203847	0.0840332300831192	49.6154955356884	0.0	0.0	PIC2	Mitochondrial copper and phosphate carrier; imports copper and inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature
YFL026W	13880.7284104322	-6.84449906622489	0.0999750052267538	-68.4621026095557	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YGL089C	3873.66026401662	5.25027819943245	0.116440971501434	45.0896117726722	0.0	0.0	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YIL015W	3953.46602102244	-5.23005059419536	0.126102578307446	-41.4745730372315	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YIR031C	3476.54841820138	-3.77272218733191	0.0798673945264986	-47.2373264421464	0.0	0.0	DAL7	Malate synthase; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA; recycles glyoxylate generated during allantoin degradation; SWAT-GFP and mCherry fusion proteins localize to the cytosol; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation
YJL172W	10958.7029278356	-3.99475995276238	0.0768779113491324	-51.9623892306417	0.0	0.0	CPS1	Vacuolar carboxypeptidase S; expression is induced under low-nitrogen conditions
YJR004C	9980.82744269799	4.37490316605909	0.105834288102945	41.3372947886572	0.0	0.0	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
