	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR101C	8614.82844308999	2.91891224031584	0.0714478412979013	40.8537499145069	0.0	0.0	FES1	Hsp70 (Ssa1p) nucleotide exchange factor; required for the release of misfolded proteins from the Hsp70 system to the Ub-proteasome machinery for destruction; cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum; protein abundance increases in response to DNA replication stress
YBR291C	2805.58272324603	-3.49739442659903	0.0759937540533658	-46.0221299785114	0.0	0.0	CTP1	Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family
YBR294W	10938.4783163588	-5.7625467195462	0.0984762712106036	-58.5171092356074	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YCL025C	3046.49758184329	4.91044056503029	0.093500640778894	52.5177209923328	0.0	0.0	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication
YCL040W	15674.5044618926	3.03618781673629	0.0672446435289039	45.1513705389967	0.0	0.0	GLK1	Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication
YCL064C	2567.25527860836	4.53148366745661	0.0937989984818394	48.310576240683	0.0	0.0	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YCR010C	11549.6086445971	8.01957012093183	0.10716211539413	74.8358698541621	0.0	0.0	ADY2	Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication
YCR021C	13053.5567787984	6.59577860756016	0.0972729166398837	67.8069377931634	0.0	0.0	HSP30	Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase
YDL171C	7853.02321805187	-2.58197057081676	0.0599416544188676	-43.0747298493657	0.0	0.0	GLT1	NAD(+)-dependent glutamate synthase (GOGAT); synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source; assembles into filaments as cells approach stationary phase and under cytosolic acidification and starvation conditions
YDL214C	1558.56120195653	4.58820168536788	0.113642432660769	40.3740185592823	0.0	0.0	PRR2	Serine/threonine protein kinase; inhibits pheromone induced signalling downstream of MAPK, possibly at the level of the Ste12p transcription factor; mutant has increased aneuploidy tolerance; PRR2 has a paralog, NPR1, that arose from the whole genome duplication
YDR256C	7171.04810390497	4.5675174760956	0.0708587353976997	64.459483371529	0.0	0.0	CTA1	Catalase A; breaks down hydrogen peroxide in the peroxisomal matrix formed by acyl-CoA oxidase (Pox1p) during fatty acid beta-oxidation
YDR343C	3369.82932208091	6.4809411242328	0.118909698535895	54.5030489861719	0.0	0.0	HXT6	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication
YDR380W	2975.58280817979	3.3895763152784	0.0777596022055239	43.5904533863165	0.0	0.0	ARO10	Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde, which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism
YDR453C	1561.47362507438	3.41521911817959	0.0905759500554976	37.7055842758151	0.0	0.0	TSA2	Stress inducible cytoplasmic thioredoxin peroxidase; cooperates with Tsa1p in the removal of reactive oxygen, nitrogen and sulfur species using thioredoxin as hydrogen donor; deletion enhances the mutator phenotype of tsa1 mutants; protein abundance increases in response to DNA replication stress; TSA2 has a paralog, TSA1, that arose from the whole genome duplication
YEL040W	8228.92970103402	-2.67611574510875	0.0700644618251262	-38.1950517480326	0.0	0.0	UTR2	Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar to and functionally redundant with Crh1; glycosylphosphatidylinositol (GPI)-anchored protein localized to bud neck
YER056C	15046.7512164847	-2.94775047732381	0.0665279763310116	-44.3084344345183	0.0	0.0	FCY2	Purine-cytosine permease; mediates purine (adenine, guanine, and hypoxanthine) and cytosine accumulation; relative distribution to the vacuole increases upon DNA replication stress
YER067C-A	3497.6541771304	7.30313601159705	0.141695516112366	51.5410523351041	0.0	0.0	YER067C-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF RGI1/YER067W
YER069W	6669.38892877608	-3.08581294666298	0.074594487450887	-41.3678416745564	0.0	0.0	ARG5,6	Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine
YER070W	8726.07801632821	-2.450689545734	0.0652814031278929	-37.5403932561444	0.0	0.0	RNR1	Major isoform of large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits; relative distribution to the nucleus increases upon DNA replication stress; RNR1 has a paralog, RNR3, that arose from the whole genome duplication
YER079W	2499.33449638497	2.96826249849492	0.0752742739126449	39.4326287615814	0.0	0.0	YER079W	Putative protein of unknown function
YER081W	3604.32841003778	-3.87782618102481	0.0858206361308454	-45.1852416371341	0.0	0.0	SER3	3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication
YFR030W	7794.24404331423	-3.40729858401256	0.0734772007568779	-46.3721882286542	0.0	0.0	MET10	Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide
YFR053C	46525.8427002702	4.5134531404635	0.0557917329925822	80.8982424163735	0.0	0.0	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YGR008C	11034.2436591541	4.62547005457878	0.0659170824582169	70.1710373409008	0.0	0.0	STF2	Protein involved in resistance to desiccation stress; Stf2p exhibits antioxidant properties, and its overexpression prevents ROS accumulation and apoptosis; binds to F0 sector of mitochondrial F1F0 ATPase in vitro and may modulate the inhibitory action of Inh1p and Stf1p; protein abundance increases in response to DNA replication stress; STF2 has a paralog, TMA10, that arose from the whole genome duplication
YGR079W	3256.70860475309	-3.46578202236439	0.0903546954228914	-38.3575198404833	0.0	0.0	YGR079W	Putative protein of unknown function; YGR079W is not an essential gene
YGR236C	3914.07127078597	8.03830889441679	0.163585718224869	49.1382070613714	0.0	0.0	SPG1	Protein required for high temperature survival during stationary phase; not required for growth on nonfermentable carbon sources; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
