	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR093C	79619.5335538934	-7.2438053963374	0.137448885788442	-52.7018124212872	0.0	0.0	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YBR291C	3084.92769438514	3.25426526425844	0.0856626163198326	37.9893284149553	0.0	0.0	CTP1	Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family
YBR294W	12003.3503167935	4.95214828363959	0.117103374726124	42.2886897599787	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YCL064C	6241.89677162221	-5.73130757574841	0.111314958568834	-51.4873081698569	0.0	0.0	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YCR098C	4059.95185273413	-6.55131291353679	0.143985696066546	-45.4997481868543	0.0	0.0	GIT1	Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability
YER037W	6689.7444826441	-4.9366287418512	0.0986665314413008	-50.0334679828906	0.0	0.0	PHM8	Lysophosphatidic acid (LPA) phosphatase, nucleotidase; principle and physiological nucleotidase working on GMP, UMP and CMP; involved in LPA hydrolysis in response to phosphate starvation and ribose salvage pathway; phosphatase activity is soluble and Mg2+ dependent; expression is induced by low phosphate levels and by inactivation of Pho85p; repressed by Gcn4p under normal conditions; PHM8 has a paralog, SDT1, that arose from the whole genome duplication
YJR152W	12677.3184278058	5.17114105230793	0.122570137983851	42.1892406859267	0.0	0.0	DAL5	Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression
YNL142W	34144.5352544102	5.90610593907893	0.0981554144118345	60.1709643270258	0.0	0.0	MEP2	Ammonium permease involved in regulation of pseudohyphal growth; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation
YCL025C	2535.89785783008	-4.51640616706561	0.124257171057108	-36.3472476368377	2.9043835015850996e-289	2.19571392719833e-286	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication
YOR375C	41684.2380702642	3.37165682307394	0.0933777943991651	36.1076939626675	1.7175639593257098e-285	1.16863051792521e-282	GDH1	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources; GDH1 has a paralog, GDH3, that arose from the whole genome duplication
YIR031C	4069.94910589208	2.7126064686384	0.0768322860031643	35.305554601443	4.82593846425702e-273	2.9850623009822497e-270	DAL7	Malate synthase; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA; recycles glyoxylate generated during allantoin degradation; SWAT-GFP and mCherry fusion proteins localize to the cytosol; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation
YJL088W	4680.08332356436	3.82895426905355	0.110721678303606	34.5817939875721	4.7450572863854003e-262	2.6904474813805204e-259	ARG3	Ornithine carbamoyltransferase; also known as carbamoylphosphate:L-ornithine carbamoyltransferase; catalyzes the biosynthesis of the arginine precursor citrulline
YPL110C	5365.81912956443	-3.2069296912005	0.0949690714521255	-33.7681483262383	5.790207602800969e-250	3.0305055791890603e-247	GDE1	Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes
YNR050C	15053.8442898025	2.82747170384192	0.0849438279943292	33.2863701884341	6.08068625615364e-243	2.9552135204906704e-240	LYS9	Saccharopine dehydrogenase (NADP+, L-glutamate-forming); catalyzes the formation of saccharopine from alpha-aminoadipate 6-semialdehyde, the seventh step in lysine biosynthesis pathway; exhibits genetic and physical interactions with TRM112
YJR010W	7047.90968667978	3.04961606714198	0.0919183998063632	33.1774277355388	2.27865260159679e-241	1.0335968200843e-238	MET3	ATP sulfurylase; catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
