	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YKL209C	867.762249720109	-4.06496803212959	0.138112933869392	-29.4322039091117	2.12723351079689e-190	1.3265428173329401e-186	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL145W	1575.57032845946	-7.91399265889813	0.306113815997821	-25.8531051043918	2.24515428236857e-147	7.000391052425211e-144	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YPL187W	7430.56271072298	8.07012855229879	0.323975797455621	24.9096649060776	5.84626187014492e-137	1.21524296740746e-133	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YML123C	11442.846006638	-3.59428628813817	0.157673154991885	-22.7958036884792	5.04637298176209e-115	7.867295478567101e-112	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YLR040C	1073.58476981549	4.20104157909264	0.195780648181013	21.4579000433612	3.85317682864464e-102	4.805682140685601e-99	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YFL026W	2970.13073384441	-5.59377526598106	0.279961188536279	-19.9805383568593	8.13419934021866e-89	8.45414451426726e-86	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL178C	990.158483838792	4.04552121790479	0.216281238057821	18.7049105795448	4.51489479572345e-78	4.02212627801877e-75	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YIL015W	776.585148433869	-4.15244237430887	0.24669807609523	-16.8320825197921	1.4201788523042601e-63	1.10702941537117e-60	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YER072W	3315.82347436459	-1.55863213619078	0.111888546850535	-13.9302205637978	4.1507171179907104e-44	2.87598577197668e-41	VTC1	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress
YCR005C	2246.33081450085	3.62073046283105	0.267171684926877	13.5520740673624	7.702265482322179e-42	4.80313275477611e-39	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YPL019C	3519.43819856207	-2.60895355788666	0.198522397042661	-13.1418600457762	1.89510338467059e-39	1.07435133698234e-36	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YJR048W	1839.99761134493	-1.94004219911802	0.163332023061634	-11.8779046677573	1.54183847813843e-32	8.012420624726019e-30	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YKL177W	83.3029441514787	5.09051006019427	0.439853255545693	11.5732008255318	5.634081290411521e-31	2.7026254559235597e-28	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YBR115C	800.96640550428	-13.1163613533951	1.18480973387866	-11.0704368628511	1.74547610308448e-28	7.774849270596309e-26	LYS2	Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p
YDR281C	269.01604113859	-2.54005432505231	0.235734817766935	-10.7750494776873	4.51539289555594e-27	1.87719933977912e-24	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YGL089C	959.382178252287	4.34397921154783	0.411721163170264	10.5507795083912	5.03773885777434e-26	1.96345871981755e-23	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
