	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGL009C	4119.96672962132	-2.32429456282334	0.063434688975089	-36.6407497282141	6.42406561663282e-294	3.9212496523926803e-290	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YOR382W	1773.481074627	2.42682678486093	0.0878853969332483	27.6135384209982	7.65331464708278e-168	2.3357916302896597e-164	FIT2	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YOR383C	2192.88748536709	2.62497780694758	0.104562532277243	25.1043825142602	4.45444713159024e-139	9.06331509707561e-136	FIT3	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YOR153W	12228.6636527499	1.96327521837021	0.107104968296247	18.3303841978636	4.73548353634497e-75	7.226347876462429e-72	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YOR375C	2971.70025164016	-1.27593549119731	0.0702311597764178	-18.1676551442304	9.309253261936731e-74	1.1364736382172399e-70	GDH1	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources; GDH1 has a paralog, GDH3, that arose from the whole genome duplication
YOR221C	375.591918658814	-1.99266507754451	0.119973692661399	-16.6091835079912	5.9801614295738005e-62	6.08381756101974e-59	MCT1	Predicted malonyl-CoA:ACP transferase; putative component of a type-II mitochondrial fatty acid synthase that produces intermediates for phospholipid remodeling
YKL120W	1306.17115432244	-1.66291229799189	0.101312555361181	-16.4136842868445	1.52654177576968e-60	1.33114442847116e-57	OAC1	Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
YHR208W	5794.13188402743	-1.69016261582324	0.104611420222351	-16.1565784331273	1.02072026379026e-58	7.78809561271971e-56	BAT1	Mitochondrial branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase; BAT1 has a paralog, BAT2, that arose from the whole genome duplication
YJR148W	1633.77248226593	1.14896488691901	0.0764170787983351	15.0354463293623	4.3013937437772e-51	2.9173008235573397e-48	BAT2	Cytosolic branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA catabolism; homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase; BAT2 has a paralog, BAT1, that arose from the whole genome duplication
YHL047C	953.702546041323	1.32712111907498	0.0901056080380386	14.7285074477798	4.22944017345208e-49	2.5816502818751503e-46	ARN2	Transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C
YEL065W	1713.03596275693	1.12041418803531	0.0835200233560722	13.414917082322	4.94485856344444e-41	2.74394697011499e-38	SIT1	Ferrioxamine B transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; transcription is induced during iron deprivation and diauxic shift; potentially phosphorylated by Cdc28p
YBR115C	741.602144422419	-10.6963849074658	0.837556244393457	-12.7709452100282	2.38243616520991e-37	1.21186586270344e-34	LYS2	Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p
YLR136C	501.642828161091	1.29952759664097	0.10314426476604	12.5991260841179	2.13496888706347e-36	1.00245000666426e-33	TIS11	mRNA-binding protein expressed during iron starvation; binds to a sequence element in the 3'-untranslated regions of specific mRNAs to mediate their degradation; involved in iron homeostasis; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; TIS11 has a paralog, CTH1, that arose from the whole genome duplication
YNL037C	4007.30589909858	1.40981963574401	0.113389677239501	12.4334037283323	1.7214530697360102e-35	7.50553538404899e-33	IDH1	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle
YLR346C	136.213952052821	3.33150773765504	0.271892211163108	12.2530458794808	1.61802690610159e-34	6.584290823229401e-32	CIS1	Protein of unknown function found in mitochondria; expression is regulated by transcription factors involved in pleiotropic drug resistance, Pdr1p and Yrr1p; not an essential gene; YLR346C has a paralog, YGR035C, that arose from the whole genome duplication
YMR120C	1750.8074761144	1.16623908523927	0.0977463973517435	11.9312743675097	8.13189728132367e-33	3.1023188128249798e-30	ADE17	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine
YOL143C	4790.732312233	-0.755605329815852	0.0680599297277608	-11.1020586244839	1.22587265658557e-28	4.40160393870491e-26	RIB4	Lumazine synthase (DMRL synthase); catalyzes synthesis of immediate precursor to riboflavin; DMRL synthase stands for 6,7-dimethyl-8-ribityllumazine synthase
YOR136W	4889.55493177683	1.27864307637527	0.115506733034949	11.0698575120152	1.75679718365052e-28	5.95749444944598e-26	IDH2	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated
YMR096W	485.805943889165	1.30709079153322	0.119436084840872	10.943851628046	7.11131544707336e-28	2.28460365731241e-25	SNZ1	Protein involved in vitamin B6 biosynthesis; member of a stationary phase-induced gene family; coregulated with SNO1; interacts with Sno1p and with Yhr198p, perhaps as a multiprotein complex containing other Snz and Sno proteins
YJR016C	6878.35213419377	-0.881593456244142	0.0870166921209413	-10.1313142887441	4.0121986280594e-24	1.22452302128373e-21	ILV3	Dihydroxyacid dehydratase; catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids
YOR020C	4564.93522079779	0.661045491632761	0.0654398427222912	10.1015751892629	5.43618858487343e-24	1.58011881533654e-21	HSP10	Mitochondrial matrix co-chaperonin; inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES
YBR105C	1259.77841045833	1.03185936384352	0.104607443718388	9.86411030768874	5.95601069589265e-23	1.65252224035131e-20	VID24	GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles
YPL135W	2179.85853622585	0.650443425283994	0.0665414986520517	9.77500414718926	1.44151425997987e-22	3.8256534969204905e-20	ISU1	Conserved protein of the mitochondrial matrix; performs a scaffolding function during assembly of iron-sulfur clusters, interacts physically and functionally with yeast frataxin (Yfh1p); ISU1 has a paralog, ISU2, that arose from the whole genome duplication; isu1 isu2 double mutant is inviable; human homolog ISCU implicated in mitochondrial myopathy, can complement isu1 isu2 double mutant
YNL036W	2207.32724472997	0.752415667142143	0.0788660743657574	9.54042245912562	1.42251641302895e-21	3.6179334104703104e-19	NCE103	Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress
