	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YPL187W	15171.9511678728	-10.1855830421256	0.398092696058934	-25.5859581021244	2.18643110729156e-144	1.4458868912519098e-140	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YNL145W	1303.84229090697	8.50931281341012	0.337470858123439	25.2149559245723	2.74592095250796e-140	9.079387629467569e-137	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDR461W	947.455667770349	7.75930299460341	0.356382661921088	21.7723919361754	4.23920957059887e-105	9.34463096345678e-102	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YGL089C	3564.55866160615	-5.48663272401452	0.258163344223852	-21.2525629481198	3.12152804944624e-100	5.160666247747e-97	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YIL015W	895.989144617149	5.02143951897786	0.240661320764124	20.8651706183373	1.10997765702089e-96	1.46805644917582e-93	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJR004C	6993.30167092835	-4.45485712396194	0.216565982337782	-20.5704380525175	5.05077697667635e-94	5.56679802446012e-91	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YFL026W	1906.31869464374	6.07577483255424	0.322304313853672	18.8510503005947	2.88065915514683e-79	2.72139985614085e-76	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YLR040C	2542.92531289133	-4.17025281215006	0.227549437419994	-18.3267990439058	5.05809090546699e-75	4.1811443947316497e-72	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YKL178C	2057.35124011042	-4.7586350793927	0.272747679030622	-17.4470231838653	3.62646493377034e-68	2.66464584522481e-65	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YGL032C	275.101454986273	6.65655417482663	0.391194168789969	17.0159851702711	6.25128125174072e-65	4.13397229177614e-62	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YKL209C	647.240457592027	4.14294367869184	0.287727214365745	14.3988593078496	5.260456831158521e-47	3.16249100222285e-44	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
