	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	14144.5456612966	-6.99583194404734	0.199195393634783	-35.1204504099824	3.2856764846477796e-270	2.17248929164911e-266	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YMR011W	30923.4434020483	-4.99186638337259	0.151540883039971	-32.9407238709037	5.744179278364659e-238	1.8990256694273598e-234	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YFL026W	3026.67778853814	6.4841105576127	0.215547568840753	30.0820398600885	8.32323288582683e-199	1.8344405280362298e-195	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YNL145W	1946.73403574119	8.36594778489955	0.286806834312181	29.169276265549	4.7587939781914e-187	7.86628644595038e-184	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YDR461W	1402.61983626026	8.10197889838154	0.293176624100796	27.63514629869	4.20996890905918e-168	5.5672628853398505e-165	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YPL187W	10331.537945141	-10.0014359878382	0.36964191223541	-27.0570940599093	3.1516577434676902e-161	3.4731268333014e-158	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YIL015W	1274.64666750133	5.10952433824263	0.188928671433505	27.0447269833313	4.4058147424764105e-161	4.1616067253219995e-158	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YPL095C	1411.10200941963	3.15048023337384	0.124947701416494	25.2143912825751	2.78535715540843e-140	2.30209768894507e-137	EEB1	Acyl-coenzymeA:ethanol O-acyltransferase; responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification; EEB1 has a paralog, EHT1, that arose from the whole genome duplication
YLR040C	1834.53875089441	-4.21888787771631	0.172220460331571	-24.4970189348804	1.58924911225785e-132	1.16756834780544e-129	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YDL215C	4828.46702000692	-3.06928238535991	0.128393136332305	-23.9053462905995	2.69472269536642e-126	1.78175064617628e-123	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YKL029C	3552.2711467312	-2.39764603104437	0.100834084378633	-23.7781306372674	5.624149770531579e-125	3.3806252984322597e-122	MAE1	Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids
YDR277C	1857.37109731496	-4.09408661243903	0.172735149754256	-23.7015258229928	3.47740151535098e-124	1.91604823495839e-121	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR174W	1460.74268282238	-4.46165496065628	0.19250909176624	-23.1763337498573	7.89024268538678e-119	4.0130988181367197e-116	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YKL178C	1841.48047999829	-5.0524286576889	0.222760554891011	-22.6809843428559	6.90276762568775e-114	3.26007853864624e-111	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YJL079C	4746.36880457042	-2.50766140415749	0.113301826230987	-22.1325770958461	1.53546384888263e-108	6.76832464587461e-106	PRY1	Sterol binding protein involved in the export of acetylated sterols; secreted glycoprotein and member of the CAP protein superfamily (cysteine-rich secretory proteins (CRISP), antigen 5, and pathogenesis related 1 proteins); sterol export function is redundant with that of PRY2; may be involved in detoxification of hydrophobic compounds; PRY1 has a paralog, PRY2, that arose from the whole genome duplication
