	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR277C	1398.96292172026	4.90763774961125	0.137056775230653	35.8073341602571	8.49178133080554e-281	5.74214253589071e-277	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YLR174W	1856.87926223394	5.44583735219411	0.153707974776533	35.4297645266063	5.94561920634999e-275	2.01021385366693e-271	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YMR303C	6586.31493196617	4.53566273006208	0.137062638727407	33.0918970492222	3.8868779518515504e-240	8.7610229034734e-237	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YPL187W	7724.7115305748	-10.7375872083655	0.326906731433804	-32.8460266366212	1.29797082262992e-236	2.19421967565587e-233	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YKL209C	760.464305138287	3.7983640611496	0.13937949611171	27.2519571896378	1.57542667238402e-163	2.1306070317321498e-160	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL117W	935.936055543949	5.40280545930616	0.198786597602644	27.1789221429599	1.15292056477907e-162	1.29934147650602e-159	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YLR377C	1908.30655389823	5.58711074958438	0.21425287302766	26.0771800659264	6.61795703396978e-150	6.39294649481481e-147	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YKL217W	1783.43057763331	5.02767850207059	0.19459180535006	25.8370515296164	3.40178209233547e-147	2.8753563135465603e-144	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YGL009C	5909.64025685963	2.9615618687585	0.118557517853006	24.9799584403447	1.00958010607987e-137	7.58531186368008e-135	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YDL215C	3463.23571980256	2.68471335241027	0.110448305076951	24.3074201142316	1.6363487708282099e-130	1.10649903883404e-127	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YNL145W	742.769373684925	6.75979537250296	0.279584012351381	24.1780469335538	3.78694805410941e-129	2.32794024926253e-126	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YJR095W	2178.77020145234	6.82341821690157	0.288975257638637	23.6124652077799	2.87013233363895e-123	1.61731957000555e-120	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YJL212C	843.996666658571	-3.0357352821339	0.133050234380436	-22.8164594844207	3.14775248323399e-115	1.63731556089448e-112	OPT1	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
YKR075C	2464.7586687006	3.66766207007666	0.161342371318085	22.7321691141251	2.15425719949685e-114	1.04050622735698e-111	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YKL120W	1303.44876328649	2.24999367814421	0.0999617450528635	22.5085474143566	3.4230310343444e-112	1.54310239028246e-109	OAC1	Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
YMR011W	17740.4175923012	4.36769158646438	0.197406993689164	22.1253133176311	1.80380656065111e-108	7.62333747695174e-106	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YIL162W	6228.7911017754	3.71091566887071	0.168085135114114	22.0775957752086	5.18970344369299e-108	2.0642808638971802e-105	SUC2	Invertase; sucrose hydrolyzing enzyme; a secreted, glycosylated form is regulated by glucose repression, and an intracellular, nonglycosylated enzyme is produced constitutively
YLR040C	1138.5862772298	-3.79054302584616	0.178486935877906	-21.2370894665315	4.33958715265152e-100	1.63023824034609e-97	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YBR230C	1485.81597757812	2.60952812704967	0.12552756712548	20.788486440123	5.50189911536507e-96	1.95809693779466e-93	OM14	Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources
YDR028C	780.536437791383	-8.42942522260105	0.40654523385285	-20.7342861770016	1.69957715650808e-95	5.7462703661538205e-93	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YER065C	2788.25235236674	3.6088943467507	0.184803139636001	19.528317288651	6.30840361932217e-85	2.03130596542174e-82	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YKL178C	1018.82796841588	-4.42661715848719	0.227492895215376	-19.4582655176828	2.48038083887009e-84	7.623788742017979e-82	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YDR216W	1442.86900838234	2.77447020385366	0.146939186447564	18.8817583037574	1.61131546180431e-79	4.7372674577046696e-77	ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization
YHR092C	19799.2054349005	5.45232863765655	0.292454837182048	18.6433183673504	1.43083248580231e-77	4.031370528748e-75	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YDR178W	2629.82226343815	1.74827535141031	0.0963902291394411	18.1374747940603	1.61272808447418e-73	4.36210692288577e-71	SDH4	Membrane anchor subunit of succinate dehydrogenase (SDH); involved in coupling the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; has similarity to human SDH subunit D (SDHD), which is implicated in paraganglioma
YFL026W	1518.53840045532	4.53262350247278	0.250372942507186	18.103487769421	2.99113469266207e-73	7.77925107376189e-71	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YIL015W	521.753371553072	3.47562657500695	0.203681775447155	17.0640037253048	2.7504144875401302e-65	6.88826028323939e-63	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
