	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR068C	4395.551916762	-4.17016035218017	0.103928465388846	-40.1252951881625	0.0	0.0	BAP2	High-affinity leucine permease; functions as a branched-chain amino acid permease involved in uptake of leucine, isoleucine and valine; contains 12 predicted transmembrane domains; BAP2 has a paralog, BAP3, that arose from the whole genome duplication
YBR069C	4712.29483146986	-4.21606332416226	0.0885038492246173	-47.637061676969	0.0	0.0	TAT1	Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress
YBR092C	5184.37295579488	-2.88466785189331	0.06912345150031	-41.7321153571212	0.0	0.0	PHO3	Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin
YBR291C	2966.26513733616	3.57257274080282	0.0920163343861928	38.8254190371105	0.0	0.0	CTP1	Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family
YBR294W	11744.0456890337	5.05451437462584	0.0987395828319483	51.1903557788822	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YDR046C	2728.38953123681	-5.65461390197445	0.128041088525126	-44.1624947671765	0.0	0.0	BAP3	Amino acid permease; involved in uptake of cysteine, leucine, isoleucine and valine; BAP3 has a paralog, BAP2, that arose from the whole genome duplication
YFL026W	14802.8473015248	7.22227596850176	0.123489638975735	58.4848739408891	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YFR030W	8278.66374571976	3.39570925600922	0.0771405641023396	44.0197617884186	0.0	0.0	MET10	Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide
YGL089C	7940.05063754737	-6.20826034966933	0.0909388422561952	-68.2685219609379	0.0	0.0	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YIL015W	4197.61153322824	5.63482575318581	0.102589848032904	54.9257637205831	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
