	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YCL064C	4027.10788394942	5.30539940934324	0.136240731360233	38.9413603140111	0.0	0.0	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YFR030W	10715.6113907173	-3.72434598404533	0.0900838673249605	-41.3430961018853	0.0	0.0	MET10	Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide
YJR010W	8342.35197599074	-4.17527133540022	0.08263762426941	-50.5250649726844	0.0	0.0	MET3	ATP sulfurylase; catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YML123C	16022.6685694219	-4.87630233937379	0.141870904508695	-34.3714051606327	6.745878508239011e-259	1.10261384217167e-255	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YKL001C	6547.07303086578	-4.0510883268634	0.12032944250854	-33.6666425307828	1.7798235331689998e-248	2.3272972519717802e-245	MET14	Adenylylsulfate kinase; required for sulfate assimilation and involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YBR294W	8083.05071227819	-4.67504107555101	0.142362743734252	-32.8389363180433	1.6386640169827302e-236	1.78559755717218e-233	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YBR069C	5477.04663660558	3.96032876990197	0.128517178514106	30.8155595671382	1.62171172331561e-208	1.5146787495767801e-205	TAT1	Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress
YER081W	4312.52898993188	-3.06552106130513	0.10396165552515	-29.4870358289315	4.22163671524819e-191	3.45013260553658e-188	SER3	3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication
YHR215W	1941.94934425998	-4.29169253512062	0.154131525028998	-27.8443526352782	1.26083193927944e-170	9.159243576676619e-168	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YJR109C	9438.66884077998	-2.31143880489848	0.0883312232138182	-26.1678568551385	6.1731213105209e-151	4.03598671281857e-148	CPA2	Large subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor
