	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YNL145W	2516.95630716977	-8.62346810355108	0.283249503014655	-30.444777525717	1.40460029087173e-203	9.28440792266214e-200	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YFL026W	4422.00801137301	-6.92619182435138	0.23887405171093	-28.9951619891014	7.571767555651929e-185	2.50246917714296e-181	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YDL215C	3583.95728443403	3.20157589911325	0.1120298258155	28.5778887524637	1.2651915079703399e-179	2.78763862256132e-176	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YKL178C	1333.42061242517	5.50224128548535	0.211035674687481	26.0725647151058	7.465615565098801e-150	1.23369297213258e-146	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YDR461W	1462.98015979901	-8.04898663816313	0.319429637547356	-25.1979957150027	4.21350306107915e-140	5.57025104674664e-137	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YIL015W	1674.50813219584	-5.41764913132719	0.218339509724134	-24.8129582143527	6.49706103231467e-136	7.15759557059999e-133	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YLR040C	1440.39239526583	2.99154704574537	0.127214937113669	23.5156901667323	2.81871149420154e-122	2.66166899666746e-119	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YPL134C	1004.29941181836	2.98529029814236	0.137004463789563	21.7897301706004	2.90356410701412e-105	2.39906984342042e-102	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YPL187W	7461.9610488272	10.4891207864067	0.505254517900527	20.7600732201107	9.9415103449186e-96	7.30148704221244e-93	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YGL032C	516.855094527665	-7.52592806858246	0.383495985232363	-19.6245289609028	9.54576861644924e-86	6.30975305547295e-83	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YJL079C	3951.83964911821	1.79861558643156	0.0973292957218324	18.4796938382459	3.0088378453592303e-76	1.80803801434768e-73	PRY1	Sterol binding protein involved in the export of acetylated sterols; secreted glycoprotein and member of the CAP protein superfamily (cysteine-rich secretory proteins (CRISP), antigen 5, and pathogenesis related 1 proteins); sterol export function is redundant with that of PRY2; may be involved in detoxification of hydrophobic compounds; PRY1 has a paralog, PRY2, that arose from the whole genome duplication
YLR174W	1062.19487723439	4.75573639990599	0.261523260364593	18.1847549364288	6.81594269857094e-74	3.75444843646282e-71	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YBR296C	500.648635704082	5.20148813761198	0.296652151144319	17.533963996376	7.88740290270535e-69	4.01044101437556e-66	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YMR303C	5815.44133962728	4.72978330852265	0.272273497704301	17.3714421286032	1.3577034916202101e-67	6.410300056864e-65	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YBR297W	782.96434695285	3.47530699326954	0.212241068082909	16.3743380329765	2.9166343387720803e-60	1.2852635319522299e-57	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YDR028C	655.89204972554	-9.29006022296834	0.573516627137818	-16.1984148033007	5.17437823950435e-59	2.1376650101952398e-56	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YNL117W	486.679031022126	4.36571206283698	0.302775025735581	14.4189965874188	3.93014710449619e-47	1.52813366827764e-44	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YPR030W	589.820916758501	2.64838259697746	0.186605945362419	14.1923805901997	1.02131874848784e-45	3.75050940416924e-43	CSR2	Nuclear ubiquitin protein ligase binding protein; may regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p; CSR2 has a paralog, ECM21, that arose from the whole genome duplication
YLR452C	882.930624274192	-2.19083189476571	0.158875439839768	-13.7896196981437	2.9430731594495398e-43	1.0238796623137599e-40	SST2	GTPase-activating protein for Gpa1p; regulates desensitization to alpha factor pheromone; also required to prevent receptor-independent signaling of the mating pathway; member of the RGS (regulator of G-protein signaling) family
