	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YGR234W	5609.36844911424	2.87807496996374	0.3080322228596	9.34342174739155	9.32700673670477e-21	5.29680712577464e-17	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YMR011W	2770.26266406581	-2.7770530981442	0.316714508978331	-8.76831663665338	1.8135722226103397e-18	5.14963832610207e-15	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YKR075C	691.531972660682	-2.84559940234767	0.366844688452735	-7.75695953061154	8.69896728054228e-15	1.6467145062066498e-11	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YHR092C	428.686798574676	-2.23467763324359	0.301751511144962	-7.40568829221222	1.30471969932711e-13	1.85237579311966e-10	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YGL055W	11488.274807114	1.73521510439806	0.255328316014088	6.79601515212407	1.07552471583951e-11	1.22158097225052e-08	OLE1	Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria
YPL265W	1240.26133985704	-1.57269051431662	0.238764013631986	-6.58679878258643	4.4941067723211794e-11	4.25367206000199e-08	DIP5	Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress
YBR067C	7456.35011870283	1.87237146635843	0.295810841084433	6.32962422707152	2.45758964873244e-10	1.99380737359308e-07	TIP1	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
YPR036W-A	2103.79301358828	-1.50063823559786	0.243112130835874	-6.17261767415031	6.71685009579483e-10	4.76812396175235e-07	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YJL133C-A	237.537947848414	-2.22532888094671	0.374242559230115	-5.9462207759711	2.7440399000365303e-09	1.73148917692305e-06	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YOL002C	1424.37525878833	1.3574687586891	0.244602025256761	5.5497036758553	2.86154201186385e-08	1.62506970853748e-05	IZH2	Plasma membrane receptor for plant antifungal osmotin; involved in zinc ion homeostasis, apoptosis; negatively regulates ZRT1 and other functionally divergent genes through CCCTC promoter motif (IzRE); modulates FET3 activity in iron-independent manner; affects gene expression by influencing balance of competition between Msn2p/Msn4p and Nrg1p/Nrg2p for binding to IzRE; transcription regulated by Zap1p, zinc, fatty acid levels; homolog of mammalian adiponectin receptor
YDR277C	247.503350227159	-1.85932956931601	0.402198347804683	-4.62291697483289	3.78381195507301e-06	0.0019534789175326	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YHR216W	2432.97300592967	1.24143142495929	0.276697606690418	4.48659979321131	7.23688285748267e-06	0.0034248548123036	IMD2	Inosine monophosphate dehydrogenase; catalyzes the rate-limiting step in GTP biosynthesis, expression is induced by mycophenolic acid resulting in resistance to the drug, expression is repressed by nutrient limitation; IMD2 has a paralog, YAR073W/YAR075W, that arose from a segmental duplication
YDR044W	1798.46300421547	1.10585784066746	0.262938925623802	4.20575933382211	2.60207018745788e-05	0.0113670435342871	HEM13	Coproporphyrinogen III oxidase; oxygen-requiring enzyme that catalyzes sixth step in heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p); human homolog CPOX can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid
YJL172W	750.131821503873	-1.05293024059765	0.253235271926244	-4.15791304500554	3.21168221506252e-05	0.0130279594995286	CPS1	Vacuolar carboxypeptidase S; expression is induced under low-nitrogen conditions
YOR382W	556.819244202445	-1.65007873486084	0.402576632440734	-4.09879412239299	4.15308240939373e-05	0.0157235700019647	FIT2	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YLR460C	193.107363961874	1.44734062279231	0.357902431266859	4.04395303398524	5.25574519776694e-05	0.018654610611324	YLR460C	Member of the quinone oxidoreductase family; up-regulated in response to the fungicide mancozeb; possibly up-regulated by iodine
YPR002W	143.868451050333	-1.4946162530034	0.372904922371655	-4.00803573065682	6.12258588188748e-05	0.0204530383666112	PDH1	Putative 2-methylcitrate dehydratase; mitochondrial protein that participates in respiration; induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate
YDL037C	498.973212967343	1.48640135948022	0.377305683961672	3.93951488849347	8.16465353802277e-05	0.0257594819124618	BSC1	Protein of unconfirmed function; similar to cell surface flocculin Flo11p; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the gene IMI1
YMR246W	4933.68479493645	1.10578361037749	0.283152788267017	3.90525418148002	9.4126396601781e-05	0.0267271903150757	FAA4	Long chain fatty acyl-CoA synthetase; activates fatty acids with a preference for C12:0-C16:0 chain lengths; role in the competitive import of long-chain fatty acids and sphingoid long-chain bases; role in stationary phase survival; localizes to lipid particles and the plasma membrane; role in sphingolipid-to-glycerolipid metabolism; forms cytoplasmic foci upon replication stress; faa1 faa4 double null complemented by any of human ACSBG1, ACSL1, 3, 4, 5, 6, SLC27A2, or 4
YMR319C	818.680042232935	1.33284176567249	0.340764445469021	3.91132872984443	9.17897368206223e-05	0.0267271903150757	FET4	Low-affinity Fe(II) transporter of the plasma membrane
YBR177C	2247.85389088917	1.373522044177	0.35818575145337	3.83466410543638	0.000125736002023	0.0340026074042221	EHT1	Acyl-coenzymeA:ethanol O-acyltransferase; plays a minor role in medium-chain fatty acid ethyl ester biosynthesis; possesses short-chain esterase activity; localizes to lipid particles and the mitochondrial outer membrane; EHT1 has a paralog, EEB1, that arose from the whole genome duplication
YDL223C	356.387553573303	-1.06817901463186	0.279926587160194	-3.81592554486643	0.0001356734136312	0.0346546320370331	HBT1	Shmoo tip protein, substrate of Hub1p ubiquitin-like protein; mutants are defective for mating projection formation, thereby implicating Hbt1p in polarized cell morphogenesis; HBT1 has a paralog, YNL195C, that arose from the whole genome duplication
YJL212C	1201.13427228864	0.959413608843801	0.251976767282231	3.80754789098946	0.000140351564862	0.0346546320370331	OPT1	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
YDR342C	154.586806058115	-3.70808360901565	0.992514625697567	-3.73604933671331	0.0001869340070646	0.0442332594216623	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YOR273C	1488.20253913828	1.3477481428925	0.361755545875761	3.72557700429937	0.0001948689508857	0.0442664308832101	TPO4	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; localizes to the plasma membrane
YIR035C	1005.15509561882	1.35923527493684	0.374074125688587	3.6335987484694	0.0002794954074148	0.0610482468734136	YIR035C	Putative cytoplasmic short-chain dehydrogenase/reductase
YGL035C	1032.27893502172	-1.14435195169765	0.31717493691219	-3.60795201171415	0.0003086235542114	0.0649138209024809	MIG1	Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization, shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state
YDL039C	2047.83468106844	1.42834205239817	0.399565104810209	3.57474172594882	0.0003505737908063	0.0686520192410105	PRM7	Pheromone-regulated protein; predicted to have one transmembrane segment; promoter contains Gcn4p binding elements; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the IMI1
YGR138C	1303.21732835456	1.23331913979707	0.344562478078125	3.57937737932519	0.0003444138071705	0.0686520192410105	TPO2	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication
YLR168C	631.214699148843	1.07128383283213	0.302614722935098	3.54009158061317	0.0003999882060029	0.0742149515696037	UPS2	Mitochondrial intermembrane space protein; involved in phospholipid metabolism; forms complex with Mdm35p that transfers phosphatidylserine from outer membrane to inner membrane for phosphatidylethanolamine synthesis; null mutant has defects in mitochondrial morphology; similar to Ups1p, Ups3p and to human PRELI; UPS2 has a paralog, UPS3, that arose from the whole genome duplication
YLR413W	4281.25823569292	0.927199096459	0.262163015446892	3.53672731021371	0.0004051177141499	0.0742149515696037	INA1	Protein of unknown function; not an essential gene; YLR413W has a paralog, FAT3, that arose from the whole genome duplication
YIL064W	767.037881528091	0.9440404062816	0.269513588783963	3.50275624520857	0.0004604706385427	0.0817191486338749	EFM4	Lysine methyltransferase; involved in the dimethylation of eEF1A (Tef1p/Tef2p) at lysine 316; sequence similarity to S-adenosylmethionine-dependent methyltransferases of the seven beta-strand family; role in vesicular transport
YGL039W	535.191036502742	0.959348561033138	0.275182395089834	3.48622796425606	0.0004898833491227	0.08430447089903	YGL039W	Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols
YBR083W	1004.79885341011	-1.06440433988891	0.307024732570287	-3.46683581800773	0.0005266234484728	0.0869520565429796	TEC1	Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes, which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member
YNL160W	4452.58399697462	-0.763627305184066	0.220564863436303	-3.46214393937044	0.0005358904699778	0.0869520565429796	YGP1	Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; YGP1 has a paralog, SPS100, that arose from the whole genome duplication
YGR243W	111.325264768639	-3.05866760680379	0.886595267410396	-3.44990292553407	0.0005607881685958	0.0884643335959879	MPC3	Highly conserved subunit of the mitochondrial pyruvate carrier (MPC); expressed during growth on nonfermentable carbon sources, and heterodimerizes with Mpc1p to form the respiratory isoform of MPC; MPC localizes to the mitochondrial inner membrane and mediates pyruvate uptake; MPC3 paralog, MPC2, heterodimerizes with Mpc1p to form the fermentative MPC isoform; protein abundance increases in response to DNA replication stress
YCR061W	281.349701868549	-1.07615878956064	0.316210911936684	-3.40329428535381	0.0006657852797893	0.0994998579979888	YCR061W	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; induced by treatment with 8-methoxypsoralen and UVA irradiation
YPR156C	1190.54283155168	0.926364997358305	0.271650272447974	3.41013829660606	0.0006492994587295	0.0994998579979888	TPO3	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; TPO3 has a paralog, TPO2, that arose from the whole genome duplication
YCR013C	2892.57987475601	-0.757710582323682	0.225252544285147	-3.36382696465572	0.00076869721964	0.109135787758399	YCR013C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; transcription of both YCR013C and the overlapping essential gene PGK1 is reduced in a gcr1 null mutant
YIR038C	702.421454424147	-1.60192674317184	0.475314767762618	-3.37024399791399	0.000751016520555	0.109135787758399	GTT1	ER associated glutathione S-transferase; capable of homodimerization; glutathione transferase for Yvc1p vacuolar cation channel; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p
YCR012W	28057.556736259	-0.782658895098931	0.234947768687631	-3.3312037797622	0.0008647127622633	0.11692151849746	PGK1	3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis
YER095W	806.023458601666	-0.827017582543969	0.247847251139025	-3.33680353017137	0.0008474783347295	0.11692151849746	RAD51	Strand exchange protein; forms a helical filament with DNA that searches for homology; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; homolog of Dmc1p and bacterial RecA protein
YDR154C	2970.09043214732	-0.772471222009831	0.23491918994583	-3.28824231936077	0.0010081502573362	0.133146170032852	YDR154C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant exhibits synthetic phenotype with alpha-synuclein
YER042W	710.770779319405	0.924884106357575	0.283158752133933	3.26630944439291	0.0010895911244027	0.140631545351886	MXR1	Methionine-S-sulfoxide reductase; involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR2; involved in the regulation of lifespan; reduced activity of human homolog implicated in Alzheimer disease
YDR492W	1654.36681945032	0.797894152342421	0.247646164062844	3.22191201855218	0.0012733823052828	0.160700846926691	IZH1	Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; transcription is regulated directly by Zap1p, expression induced by zinc deficiency and fatty acids; deletion increases sensitivity to elevated zinc; IZH1 has a paralog, IZH4, that arose from the whole genome duplication
YDR502C	9281.93566589893	2.15671175258492	0.673822913321293	3.20071002328256	0.0013708942030156	0.169245829976647	SAM2	S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon
YGR192C	138988.032451513	-0.675388601538064	0.218323584447315	-3.09352103781094	0.0019779652868989	0.234018018006234	TDH3	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 3; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bacteria; binds AU-rich RNA
