	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YKL209C	1407.60123006383	-4.6083929954991	0.145875541803901	-31.5912656673736	4.8667706296144e-219	3.28799023736749e-215	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL145W	2336.29266157848	-8.3030036919915	0.308817672441965	-26.88642662946	3.16536953662691e-159	1.06926182947257e-155	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YPL187W	8392.78356068338	12.2017193799401	0.471506541237663	25.8781550472485	1.17336547655114e-147	2.64241905319317e-144	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YOR153W	14238.9758181112	-3.73004737527256	0.165604407169128	-22.5238412372876	2.42417474156532e-112	4.09443113850383e-109	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YIL015W	1536.68875323089	-4.99213453784811	0.22217260078385	-22.4696228078318	8.228710008218141e-112	1.11186329631043e-108	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YFL026W	4089.18197226023	-5.87928912913657	0.28638800413082	-20.5291040278731	1.18336696280905e-93	1.33247120012299e-90	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YBR039W	4251.24015874557	1.91922693991839	0.0973168987394958	19.7214149318085	1.41222049216413e-86	1.3629945207229798e-83	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YKL178C	1106.4089575215	4.45805110205197	0.238595812021666	18.68453207237	6.615638494746619e-78	5.58690670881352e-75	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YJR121W	13142.9454744144	1.6810928008713	0.0926542960820251	18.1437113221719	1.43972361139964e-73	1.0807525242906599e-70	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YLR040C	1315.14863218998	2.83945069143372	0.183915157665668	15.4389161147633	8.95932341610588e-54	6.05291889992113e-51	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YDR377W	1537.96324642147	1.7320763875641	0.11280471250272	15.3546456449888	3.29706148141997e-53	2.02499521531575e-50	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YER175C	646.071828687564	-2.49188599284797	0.176055276536771	-14.1539977776668	1.76435178237872e-45	9.93330053479222e-43	TMT1	Trans-aconitate methyltransferase; cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle
YMR102C	1143.24590428435	-1.47709431400585	0.105447312136663	-14.0078896661822	1.3948859148258302e-44	7.24911480043332e-42	YMR102C	Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; not an essential gene; YMR102C has a paralog, DGR2, that arose from the whole genome duplication
YMR256C	578.02941651887	1.88954523950196	0.135819447325129	13.9121847181332	5.342236097500771e-44	2.5780105053368e-41	COX7	Subunit VII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
