	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YJR010W	6465.0984685146	3.80040477205391	0.0933866571957776	40.6953721888414	0.0	0.0	MET3	ATP sulfurylase; catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YML123C	14526.6749879835	4.74400818640891	0.107254237178623	44.2314290903788	0.0	0.0	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YNL142W	32449.3697301917	7.11543591567805	0.164242664279402	43.3227014850028	0.0	0.0	MEP2	Ammonium permease involved in regulation of pseudohyphal growth; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation
YCL064C	3997.08166391714	-5.13402005508587	0.14468470886121	-35.4841924588638	8.61803534651784e-276	1.37910110632652e-272	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YJR152W	12036.5254566856	5.86146587490729	0.175391944168583	33.4192422730282	7.20412764540086e-245	9.22272421164218e-242	DAL5	Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression
YKR039W	28022.1786944914	7.01479475141875	0.211362266006033	33.1884914179455	1.57794878504135e-241	1.6834083621749398e-238	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth
YER081W	3962.63337245224	2.94489075304777	0.0902158424098103	32.6427229894994	1.0164284731475302e-233	9.29451236659622e-231	SER3	3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication
YKL001C	5602.71443429536	3.82781205430933	0.123318330345136	31.0400898519813	1.5523337634213401e-211	1.2420610524575e-208	MET14	Adenylylsulfate kinase; required for sulfate assimilation and involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YBR069C	5327.9291076208	-4.4338064557738	0.149158282583341	-29.7255129181072	3.5949257107003996e-194	2.55679105268814e-191	TAT1	Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress
YBR294W	11455.0186523599	5.21171239250456	0.178522036437298	29.193664247355	2.3337661141777597e-187	1.49384368968518e-184	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
