	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YMR303C	7297.65318757887	-5.06976099987706	0.132422106036755	-38.2848540293559	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YHR092C	21899.5805292064	-7.00468863105443	0.211057381686808	-33.1885507868606	1.5748398966445302e-241	5.213507477841719e-238	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YJR048W	1373.79417443348	-3.50965020637827	0.130066827332469	-26.9834382705986	2.31234243527861e-160	5.1033397546598805e-157	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YGL009C	6705.64888890158	-2.8288847032884	0.10699106453605	-26.4403828072505	4.7071076609012997e-154	7.791439955706881e-151	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YJR095W	2442.28644427612	-7.10481620787543	0.27099302121272	-26.2177091353892	1.66952117102969e-151	2.21077993467752e-148	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YKL217W	2008.10100974944	-4.88238095339399	0.186452481407378	-26.1856582253069	3.87112193175464e-151	4.27178305169124e-148	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YOR153W	14889.5891060086	3.44089288498961	0.138731857787143	24.8024710392691	8.43115816056872e-136	7.97467116873222e-133	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YJR121W	15911.6063205647	-1.98047186387507	0.0818096532645634	-24.2082906459761	1.81961207865379e-129	1.50595644659584e-126	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YPL134C	1493.87309087049	-3.23469952889221	0.13418456236013	-24.1063463039123	2.1445845799016298e-128	1.57769938928096e-125	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YLR377C	2150.58517060288	-5.34742062247521	0.222144822268451	-24.0717769960586	4.93877937883396e-128	3.26996582672597e-125	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YBR039W	4869.15525547793	-2.11090180558469	0.0882517112104237	-23.9191033990439	1.93819845606356e-126	1.16661927069062e-123	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YDL215C	3840.2906567229	-2.82142891793028	0.118266092485325	-23.8566173840602	8.645360615196819e-126	4.77007771943485e-123	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YDR298C	3188.73466358612	-1.84044367483356	0.0836059979930235	-22.0132971199881	2.14789605743958e-107	1.09393998433134e-104	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YFR033C	2515.86273855846	-2.62903968033312	0.120139555928365	-21.8832145667388	3.7542603811915003e-106	1.77549699884778e-103	QCR6	Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space
YKL016C	3242.56076711443	-2.07417583326519	0.0960638630520453	-21.5916346414411	2.1526301089909198e-103	9.5017093010859e-101	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YDR461W	1789.40066239374	2.38952450081305	0.112446096584701	21.2503997327566	3.26871034660491e-100	1.35263320030445e-97	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
