	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR028C	846.58796311978	-9.5241103012814	0.559189979701593	-17.0319759777596	4.7570432498145906e-65	3.2148098282247e-61	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YKR075C	489.352399539898	-2.14124447742616	0.127625865320384	-16.7775119255875	3.56461234915774e-63	1.2044825127804e-59	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YLR303W	2032.55379237675	-14.4406964743378	1.19468435205965	-12.0874576196146	1.23035350663031e-33	2.7715763326025398e-30	MET17	O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis
YDR477W	718.853234518298	-12.9414806618898	1.18655529672488	-10.9067657424907	1.06995517977941e-27	1.80768927623731e-24	SNF1	AMP-activated S/T protein kinase; forms a complex with Snf4p and members of the Sip1p/Sip2p/Gal83p family; required for transcription of glucose-repressed genes, thermotolerance, sporulation, and peroxisome biogenesis; regulates nucleocytoplasmic shuttling of Hxk2p; regulates filamentous growth and acts as a non-canonical GEF, activating Arf3p during invasive growth; SUMOylation by Mms21p inhibits its function and targets Snf1p for destruction via the Slx5-Slx8 Ub ligase
YDR476C	678.682131548441	-0.962471817538525	0.112154974163359	-8.5816239958884	9.35429792414001e-18	1.26432690742676e-14	YDR476C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YDR476C is not an essential gene
YER125W	1820.87967304046	-0.899306773010106	0.112466519823349	-7.99621766924635	1.28299484206551e-15	1.44507985711312e-12	RSP5	NEDD4 family E3 ubiquitin ligase; regulates processes including: MVB sorting, the heat shock response, transcription, endocytosis and ribosome stability; ubiquitinates Sec23p, Sna3p, Ste4p, Nfi1p, Rpo21p and Sem1p; autoubiquitinates; deubiquitinated by Ubp2p; regulated by SUMO ligase Siz1p, in turn regulates Siz1p SUMO ligase activity; required for efficient Golgi-to-ER trafficking in COPI mutants; mutant tolerates aneuploidy; human homolog implicated in Liddle syndrome
YLR136C	1170.39260511589	-0.976481146452102	0.128956954863957	-7.57214798908863	3.67102913330513e-14	3.54411641183943e-11	TIS11	mRNA-binding protein expressed during iron starvation; binds to a sequence element in the 3'-untranslated regions of specific mRNAs to mediate their degradation; involved in iron homeostasis; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; TIS11 has a paralog, CTH1, that arose from the whole genome duplication
YGL209W	2062.6126935561	-1.00293051743733	0.134742055286196	-7.4433369396591	9.817326240423181e-14	8.29318634159748e-11	MIG2	Zinc finger transcriptional repressor; cooperates with Mig1p in glucose-induced gene repression; under low glucose conditions relocalizes to mitochondrion, where it interacts with Ups1p, antagonizes mitochondrial fission factor Dnm1p, indicative of a role in mitochondrial fusion or regulating morphology; regulates filamentous growth in response to glucose depletion; activated in stochastic pulses of nuclear localization in response to low glucose
YMR291W	698.887794152168	-1.2057781955321	0.169406987624068	-7.117641441142	1.0978953190265e-12	8.243973962201201e-10	TDA1	Protein kinase of unknown cellular role; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene; relocalizes from nucleus to cytoplasm upon DNA replication stress
YNL190W	5091.29749666534	-0.626976579913261	0.0886699115799992	-7.0709056628256	1.5392575944900299e-12	1.04023028235636e-09	YNL190W	Hydrophilin essential in desiccation-rehydration process; cell wall protein; contains a putative GPI-attachment site
YBR068C	3593.33387150225	-0.535274966713945	0.0781398503710353	-6.8502174520718	7.373781542885699e-12	4.5301832424383205e-09	BAP2	High-affinity leucine permease; functions as a branched-chain amino acid permease involved in uptake of leucine, isoleucine and valine; contains 12 predicted transmembrane domains; BAP2 has a paralog, BAP3, that arose from the whole genome duplication
YMR011W	3488.46889662881	-2.41709668826099	0.353756540960674	-6.83265581944303	8.33567841260976e-12	4.69437622603473e-09	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YLR023C	1253.0948619489	-0.606676441277775	0.0890369413987462	-6.81376102713158	9.50795985929872e-12	4.942676363780061e-09	IZH3	Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family, expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase, overexpression reduces Zap1p activity
YDR277C	222.632584251475	-1.54433835878487	0.228001991007563	-6.77335470607204	1.2582993879691399e-11	6.07399090278244e-09	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YBL043W	106.558647920771	-1.21267571533878	0.194097610584205	-6.24776220422706	4.16374933956086e-10	1.87590786911682e-07	ECM13	Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication
YHL047C	2106.13297439911	-0.843939412681511	0.138789811189362	-6.08070149710094	1.19657875116855e-09	5.05404950024817e-07	ARN2	Transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C
YJL116C	814.680215586686	-1.32914896178687	0.221851018970515	-5.99117807957207	2.0832636616571503e-09	8.28158577969353e-07	NCA3	Protein involved in mitochondrion organization; functions with Nca2p to regulate mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p) of the Fo-F1 ATP synthase; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the vacuole; member of the SUN family; expression induced in cells treated with the mycotoxin patulin; NCA3 has a paralog, UTH1, that arose from the whole genome duplication
YBR127C	8168.07638974014	-0.5041627784732	0.0854660176135544	-5.89898526397752	3.6574389630245405e-09	1.37316513956221e-06	VMA2	Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm; protein abundance increases in response to DNA replication stress; human homolog ATP6V1B1, implicated in autosomal-recessive distal renal tubular acidosis (RTA) with sensorineural deafness, complements yeast null mutant
YHR092C	251.20908274057	-1.46234582080034	0.250482963585018	-5.83810491488374	5.279790843508781e-09	1.87793823791749e-06	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YGR032W	991.662017896507	-0.807576762209886	0.139926430938008	-5.77143829651219	7.8597740130897e-09	2.65581763902301e-06	GSC2	Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog, FKS1, that arose from the whole genome duplication
YOL109W	8914.22193773287	0.608510255928264	0.106498694616215	5.71378135780092	1.10492946998206e-08	3.55576826578036e-06	ZEO1	Peripheral membrane protein of the plasma membrane; interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p; the authentic protein is detected in a phosphorylated state in highly purified mitochondria
YKL184W	1181.34011640954	-0.925880669995688	0.162920012564531	-5.68303829235807	1.32322626802653e-08	4.06471050878332e-06	SPE1	Ornithine decarboxylase; catalyzes the first step in polyamine biosynthesis; degraded in a proteasome-dependent manner in the presence of excess polyamines; deletion decreases lifespan, and increases necrotic cell death and ROS generation
YFL061W	11.8312327977965	7.009587018882	1.2766748784539	5.49050281883112	4.00791093866887e-08	1.14572678043706e-05	DDI2	Cyanamide hydratase that detoxifies cyanamide; member of the HD domain metalloprotein superfamily; expression is induced over 100-fold by cyanamide and by SN2-type DNA alkylating agents such as MMS and DMA; induction decreased in rad6 and rad18 mutants; gene and protein are identical to DDI3 and Ddi3p
YML058W	3752.55719157272	0.491561005492527	0.0895728288720671	5.48783611818939	4.06887285150776e-08	1.14572678043706e-05	SML1	Ribonucleotide reductase inhibitor; involved in regulating dNTP production; regulated by Mec1p and Rad53p during DNA damage and S phase; SML1 has a paralog, DIF1, that arose from the whole genome duplication
YMR145C	2109.4331498349	-0.853382744933547	0.156480362611519	-5.45360919856869	4.93576123504039e-08	1.33423497705612e-05	NDE1	Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication
snR4	124.041395338766	0.914242070576965	0.170053396588761	5.37620587954423	7.60718035654804e-08	1.97728172498276e-05	snR4	snR4
YDL160C	729.508805220447	-0.871005666786896	0.162237444862422	-5.36870922446734	7.93021562060239e-08	1.98490359866781e-05	DHH1	Cytoplasmic DEAD-box helicase, stimulates mRNA decapping; coordinates distinct steps in mRNA function and decay, interacting with both decapping and deadenylase complexes; role in translational repression, mRNA decay, and possibly mRNA export; interacts and cooperates with Ngr1p to promote specific mRNA decay; ATP- and RNA-bound form promotes processing body (PB) assembly, while ATPase stimulation by Not1p promotes PB disassembly; forms cytoplasmic foci on replication stress
YGR279C	8943.83153008851	-0.417823597395763	0.0781174238574847	-5.34866073103011	8.8607464167005e-08	2.1386044387165e-05	SCW4	Cell wall protein with similarity to glucanases; scw4 scw10 double mutants exhibit defects in mating; SCW4 has a paralog, SCW10, that arose from the whole genome duplication
