	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YHR092C	11562.4223783422	7.27122228867375	0.134670013472148	53.9928830569066	0.0	0.0	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YDR277C	1512.25119591732	4.78119366930864	0.164688198826269	29.0317928265909	2.6126864818578297e-185	8.67542546300892e-182	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YDL215C	4152.93018697427	2.86668632860943	0.102755539358914	27.8981196195799	2.81195610418749e-171	6.224733495969709e-168	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YMR011W	25363.5708764717	5.28389023208393	0.214558728240516	24.6267782970861	6.52753863551676e-134	1.0837346019616699e-130	HXT2	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose
YBR297W	859.361778079115	4.09945396774262	0.194210014066163	21.1083552382939	6.66521078064365e-99	8.8527329588509e-96	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YNL104C	4290.24685371196	1.32941916425717	0.0641568142093056	20.7214024050518	2.2212076080410902e-95	2.4585066208334797e-92	LEU4	Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication
YKR075C	2772.51161237268	4.6127693477233	0.224495859921184	20.5472357011071	8.14723618071346e-94	7.729399353731151e-91	YKR075C	Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication
YBR296C	565.4982041308	5.24098048581108	0.259960301428969	20.1606955254401	2.16812922248225e-90	1.79981827081307e-87	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YLR174W	1201.48360828394	4.71571278400545	0.235579833716924	20.017472249649	3.8790820125576e-89	2.862331516155e-86	IDP2	Cytosolic NADP-specific isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose; IDP2 has a paralog, IDP3, that arose from the whole genome duplication
YPL134C	1175.57439929819	2.5813527299545	0.139782055525727	18.4669821905674	3.8078495360351e-76	2.5287928768809102e-73	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YBR298C	639.866016545384	3.88049735536716	0.210777167027248	18.4104256172373	1.08367594371024e-75	6.542447220163391e-73	MAL31	Maltose permease; high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C
YDR342C	3423.36466645896	8.85767085741059	0.487454062076538	18.1712935567245	8.712003470181311e-74	4.82136792045617e-71	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YGL028C	6000.40202959886	-1.08773891235055	0.0627311118482375	-17.3397040209022	2.3594875703908703e-67	1.20533515038198e-64	SCW11	Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p
YNR044W	2464.53067921734	-3.16470504023748	0.186693753497158	-16.9513172291844	1.88189794526741e-64	8.926917324657749e-62	AGA1	Anchorage subunit of a-agglutinin of a-cells; highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds; AGA1 has a paralog, FIG2, that arose from the whole genome duplication
YDR028C	778.788165323854	-9.36497120023589	0.559314942479769	-16.7436456439292	6.30082292440718e-63	2.78958433606587e-60	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YMR191W	1040.0289503895	2.08193402324049	0.125251903095503	16.6219751699344	4.83142911921613e-62	2.00534504879464e-59	SPG5	Protein required for proteasome assembly during quiescence; binds to base of the proteasome regulartory particle; required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources
YMR303C	6627.50706684657	4.40322780103144	0.26685498114996	16.500451976038	3.64156697500824e-61	1.4225674282958701e-58	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YNL117W	537.060325236827	5.34943409296947	0.325686185702401	16.4251181898688	1.26437226479027e-60	4.6648312280400906e-58	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YER065C	2030.49971736779	3.3097751735325	0.211340427350192	15.6608710175843	2.80035565169334e-55	9.78797993836603e-53	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YPL198W	2775.02953956808	-1.50066238697593	0.0960446666038503	-15.6246300813935	4.9478472382964e-55	1.6429326754763201e-52	RPL7B	Ribosomal 60S subunit protein L7B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog, RPL7A, that arose from the whole genome duplication
YGR289C	246.439189420971	2.88116345005603	0.194536758761055	14.8103806622732	1.25527420951843e-49	3.96965525019615e-47	MAL11	High-affinity maltose transporter (alpha-glucoside transporter); inducible; encoded in the MAL1 complex locus; broad substrate specificity that includes maltotriose; required for isomaltose utilization
YKR093W	472.565131420606	-2.01111728633376	0.138757146314992	-14.4937924982136	1.32613954037157e-47	4.00313303982163e-45	PTR2	Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p
YKL217W	3202.90069861298	5.91889380100693	0.410000646636409	14.4363035755303	3.05808644366482e-47	8.82989220538178e-45	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YCL027W	435.232491044276	-2.51422879901272	0.175517147054617	-14.3246904430959	1.53410131979189e-46	4.2449861936408104e-44	FUS1	Membrane protein localized to the shmoo tip; required for cell fusion; expression regulated by mating pheromone; proposed to coordinate signaling, fusion, and polarization events required for fusion; potential Cdc28p substrate
YGR292W	276.763280871823	4.56355620549042	0.329887523680884	13.8336732307129	1.5965507344884099e-43	4.24107737109502e-41	MAL12	Maltase (alpha-D-glucosidase); inducible protein involved in maltose catabolism; encoded in the MAL1 complex locus; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose
YNL217W	918.619652740144	-1.30179541009053	0.0946694087020647	-13.7509616669037	5.02570201613576e-43	1.28368027265991e-40	YNL217W	Putative protein of unknown function; weak sequence similarity to bis (5'-nucleotidyl)-tetraphosphatases; (GFP)-fusion protein localizes to the vacuole; null mutant is highly sensitive to azaserine and resistant to sodium-O-vandate
YPR030W	687.765204112982	2.34500722892963	0.175927283592739	13.3294119083779	1.5612350550685399e-40	3.84006000026303e-38	CSR2	Nuclear ubiquitin protein ligase binding protein; may regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p; CSR2 has a paralog, ECM21, that arose from the whole genome duplication
YNL144C	335.907590072248	1.5953303288755	0.124318605999603	12.8325950572563	1.07695509849589e-37	2.55430671753971e-35	YNL144C	Putative protein of unknown function; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; contains a PH domain and binds phosphatidylinositols and phosphatidylethanolamine in a large-scale study; YNL144C has a paralog, YHR131C, that arose from the whole genome duplication
YGL009C	5067.84301681525	2.97131316042631	0.23226236947401	12.7929167654462	1.79604339123945e-37	4.11293936593835e-35	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YBR093C	862.943705637008	2.01358189640591	0.161274070411151	12.48546583634	8.961727764807539e-36	1.98382780286956e-33	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YKR098C	491.825237898187	2.25809210900892	0.181233353849246	12.4595835206319	1.24016576840758e-35	2.65675511870797e-33	UBP11	Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; UBP11 has a paralog, UBP7, that arose from the whole genome duplication
