	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	11992.9320946631	5.89014987136577	0.173734815088168	33.9031061124772	5.99529676676522e-252	3.81960357010612e-248	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YPL019C	3679.40848929681	3.47572075462914	0.137942913804448	25.1968053941242	4.34199737486314e-140	1.38314326376265e-136	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YHR136C	550.501636321224	7.04446815117139	0.322993274572742	21.8099530415606	1.8666769223906703e-105	3.9641995575169796e-102	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YPR036W-A	5365.59858420088	-3.70437164649621	0.173003479028959	-21.4121222722702	1.03013139043393e-101	1.6407417721136402e-98	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YOR065W	2322.92665733875	2.60221477192328	0.127958697968855	20.3363648835866	6.1309803773323194e-92	7.81209519679684e-89	CYT1	Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex
YEL024W	1640.55255021093	2.73448813385138	0.137631687007349	19.8681582222077	7.67682044044715e-88	8.15150383768146e-85	RIP1	Ubiquinol-cytochrome-c reductase; a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex; transfers electrons from ubiquinol to cytochrome c1 during respiration; during import, Rip1p is first imported into the mitochondrial matrix where it is processed, acquires its Fe-S cluster, and is folded, then is translocated into the inner membrane by the action of a homo-oligomer of Bcs1p, and finally is delivered by Bcs1p to Complex III for assembly
YCR005C	2921.64962470555	-3.85906010511305	0.194398718952106	-19.8512630428589	1.07465556157578e-87	9.78090083257039e-85	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YLL053C	317.838629601464	3.79487757783587	0.191970624840159	19.7680118038664	5.61453336492364e-87	4.47127400849106e-84	YLL053C	Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin
YPL271W	1931.63585667034	1.860295626586	0.0942547638211611	19.7368870406988	1.03990718433239e-86	7.36138741264628e-84	ATP15	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YHR215W	1168.77973542294	4.47222475185743	0.228658405958512	19.5585407547575	3.4892053056734704e-85	2.22297270024457e-82	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YDR281C	269.68997459879	4.23115579173172	0.217393028445362	19.4631622825713	2.25436257336763e-84	1.30568581408411e-81	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YJR048W	1755.20819982643	3.69951531289961	0.190209132534459	19.4497249611786	2.92998346910728e-84	1.55557705680687e-81	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YOR153W	10653.7011393764	-2.95159242853271	0.15275815051792	-19.3219963617356	3.50817053470701e-83	1.71927342127834e-80	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YBR039W	4972.74278967131	2.36779675985443	0.122762297436962	19.2876543473804	6.81980438800319e-83	3.10349812542631e-80	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YBL030C	10335.6926836828	2.35985252253979	0.124586376556179	18.9414973592693	5.18999003626565e-80	2.2043617680699e-77	PET9	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant
YLL052C	293.967019988976	3.61345317605584	0.193008000400206	18.7217792452296	3.2897658042616996e-78	1.30994362118446e-75	AQY2	Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
YGR234W	9381.40822837554	3.04273828215892	0.164702877802732	18.4741051446792	3.33714736033748e-76	1.25064504898294e-73	YHB1	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YDL181W	801.331800364649	3.11325682477764	0.169310662138046	18.3878368052171	1.64410143070336e-75	5.81920567500616e-73	INH1	Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase; inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p; has a calmodulin-binding motif and binds calmodulin in vitro; INH1 has a paralog, STF1, that arose from the whole genome duplication
