	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YDR461W	6489.66941868718	-8.84667903959519	0.233232183681603	-37.9307816783649	0.0	0.0	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YFL026W	12226.6051133685	-6.95839597000175	0.13021589866185	-53.4373762459806	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YGL089C	7858.91314411728	6.27379904007723	0.109210641322217	57.4467740883136	0.0	0.0	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YIL015W	4208.98753291562	-5.65317141901112	0.0983010090964696	-57.508783185158	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJR004C	13100.1165363734	5.03036956640999	0.104353401715646	48.2051325946934	0.0	0.0	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YKL178C	5744.41644054448	6.08649520692422	0.108143362416498	56.281727060446	0.0	0.0	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YKL209C	3766.02716122856	-4.156974530038	0.081910573231847	-50.7501579591163	0.0	0.0	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YLR040C	4202.39198820447	3.45148227681942	0.0850067479122889	40.6024505299356	0.0	0.0	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YPL187W	24139.4750554805	10.9792171748202	0.188484312367377	58.2500317237036	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YNL145W	5502.63440933874	-9.29932956055419	0.253752716441331	-36.6472118642491	5.06866117471163e-294	3.3062876842644e-291	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YGL032C	1974.13830876235	-9.05002762599393	0.322859305208702	-28.0308712804292	6.83449264725083e-173	4.0528541398197396e-170	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YCR021C	1425.32590402007	3.2399248141659	0.116517235942425	27.8063995250184	3.62985177059229e-170	1.97312692496446e-167	HSP30	Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase
YDR171W	786.949966240888	3.45995135996546	0.129231978992914	26.7731825120095	6.63402325111881e-158	3.3287487436190803e-155	HSP42	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress
YCR005C	3573.28786831654	2.58728692952145	0.115003897084902	22.4973848287192	4.402672847212871e-112	2.0513310701692502e-109	CIT2	Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication
YLR304C	8652.62224048074	1.97093675924132	0.0928803299311997	21.2201739668805	6.2193503563877e-100	2.70458815831446e-97	ACO1	Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy; human homolog ACO2 can complement yeast null mutant
YER130C	3531.21654912939	1.68819649957258	0.0818634964274195	20.6220913257637	1.7387759538373e-94	7.08877221680042e-92	COM2	Transcription factor that binds IME1 Upstream Activation Signal (UAS)ru; COM2 transcription is regulated by Haa1p, Sok2p and Zap1p transcriptional activators; may bind the IME1 promoter under all growth conditions to negatively regulate its transcription in the absence of a positive regulator that binds more effectively; repressor activity may depend on phosphorylation by PKA; C. albicans homolog (MNL1) plays a role in adaptation to stress
YPR157W	670.754268177947	2.36392701471388	0.114901570953553	20.5734960374864	4.74212509914265e-94	1.81958129539456e-91	TDA6	Putative protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; null mutant is sensitive to expression of the top1-T722A allele; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; TDA6 has a paralog, VPS62, that arose from the whole genome duplication
YGR052W	1038.77405106196	2.45532425509403	0.120254546591497	20.4177249400369	1.1635822719572798e-92	4.21669286665408e-90	FMP48	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation
YJL170C	287.433992045932	-4.69904906488447	0.23659646121784	-19.8610285238288	8.8479972489382e-88	3.0376571607802e-85	ASG7	Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor
YKL177W	306.147728591013	4.29638123928683	0.217238931906323	19.7772158129533	4.67817474030679e-87	1.52578669155106e-84	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YJL133C-A	929.229669000428	2.63519971932592	0.13442220638558	19.6039016929022	1.4321070398741102e-85	4.4483972481422796e-83	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YER053C	1262.17617143113	2.1153692042549	0.108485649594499	19.4990693438421	1.11798063768214e-84	3.31481259072756e-82	PIC2	Mitochondrial copper and phosphate carrier; imports copper and inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature
YOR338W	1304.03450495988	-1.64647632513365	0.0849763582021486	-19.3756988410456	1.23769743041667e-83	3.5102175385251897e-81	YOR338W	Putative protein of unknown function; YOR338W transcription is regulated by Azf1p and its transcript is a specific target of the G protein effector Scp160p; identified as being required for sporulation in a high-throughput mutant screen; YOR338W has a paralog, FUN19, that arose from the whole genome duplication
YGR079W	3576.214185327	-1.39360966371684	0.0762667339103075	-18.2728378713028	1.36181050239824e-74	3.70128746130987e-72	YGR079W	Putative protein of unknown function; YGR079W is not an essential gene
YPL265W	2413.97557667652	1.55970147645296	0.0870374726862158	17.9198847153563	8.24989162209885e-72	2.15256172203803e-69	DIP5	Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress
YOR136W	5526.22018062449	1.88043148543253	0.106521336009629	17.6530970777775	9.632589876688739e-70	2.41666860637079e-67	IDH2	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated
YGR138C	3855.33257871951	1.87378750381505	0.108581998622177	17.2568890570443	9.93196419570231e-67	2.39948897957652e-64	TPO2	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication
YEL071W	7608.96386643971	1.30370896620331	0.0763892999476777	17.0666437196869	2.62884769021143e-65	6.12427624401756e-63	DLD3	2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm
YNL037C	4408.56477954423	1.8624096217698	0.110466387862527	16.8595140821254	8.93203479810373e-64	2.0090918271734703e-61	IDH1	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle
YPL014W	1666.71411206091	2.94979056052955	0.175034503419738	16.8526233565268	1.00362219513682e-63	2.1822091929591703e-61	CIP1	Cyclin-dependent kinase inhibitor; interacts with and inhibits the Cdc28p/Cln2p, G1/S phase cyclin-dependent kinase complex but not S-phase, or M-phase complexes; overexpression blocks cells in G1 phase and stabilizes the Cdc28p inhibitor Sic1p, while disruption accelerates the G1/S phase transition; phosphorylated during S phase in a Cdc28p-dependent manner; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus
YPR036W-A	6361.53155730014	1.46462368480051	0.0880663954139344	16.6309030580439	4.16272607785877e-62	8.759181356733141e-60	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YGR254W	15905.0151414072	1.34477070931265	0.0824480244435882	16.3105267638372	8.3073246588245e-60	1.69339621092226e-57	ENO1	Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication
YBR126C	3183.20324669018	1.31524584279844	0.0849014596093995	15.4914397096281	3.96315151275176e-54	7.83382949020598e-52	TPS1	Synthase subunit of trehalose-6-P synthase/phosphatase complex; synthesizes the storage carbohydrate trehalose, which is critically important for survival of long-term desiccation; also found in a monomeric form; expression is induced by the stress response and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress and in response to prolonged exposure to boric acid
YBR054W	2625.86551887845	2.26700700950382	0.147412016723701	15.3787124000409	2.2742545738755e-53	4.36322428982055e-51	YRO2	Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed in plasma membrane foci in the presence of acetic acid; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies
YPR156C	3816.13899523936	1.31349197634963	0.0856804989590397	15.3301158642593	4.81127618429862e-53	8.96684415719426e-51	TPO3	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; TPO3 has a paralog, TPO2, that arose from the whole genome duplication
YNL134C	4582.59526134697	1.79710214596859	0.117610081343668	15.280170929542	1.03668451883446e-52	1.87841475454366e-50	YNL134C	NADH-dependent aldehyde reductase, involved in detoxification of furfural; expression is up-regulated in the presence of furfural and 5-hydroxymethylfurfural, which are compounds generated during lignocellulosic biomass pre-treatment; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress
YLL026W	3929.4584772945	1.95354086934194	0.128356475575617	15.2196518374413	2.6192120422416603e-52	4.6176000409574e-50	HSP104	Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation
YER150W	1100.52304871689	1.7578006100539	0.125509537059179	14.0053150640264	1.44636866272269e-44	2.4828059965631898e-42	SPI1	GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog, SED1, that arose from the whole genome duplication
YNR001C	2858.08126783421	1.43637506582438	0.102627099568982	13.9960602205161	1.64754230770603e-44	2.7556201213247296e-42	CIT1	Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein; CIT1 has a paralog, CIT2, that arose from the whole genome duplication
YNL007C	4071.55635806882	1.49916875756745	0.108249998958088	13.8491341523975	1.28754720235855e-43	2.09966760024621e-41	SIS1	Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; shuttles between cytosol and nucleus; mediates delivery of misfolded proteins into the nucleus for degradation; involved in proteasomal degradation of misfolded cytosolic proteins; protein abundance increases in response to DNA replication stress; polyQ aggregates sequester Sis1p and interfere with clearance of misfolded proteins; similar to bacterial DnaJ proteins and mammalian DnaJB1
YCL040W	3140.92801317144	1.91134101860884	0.140308294904224	13.622437788967	2.9456826357273295e-42	4.68650922752424e-40	GLK1	Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication
YFR015C	253.199626049266	2.14560194087874	0.157609613232454	13.6133951278355	3.3338901658062295e-42	5.1778489408462e-40	GSY1	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YOR135C	612.290698089068	1.87233458995134	0.139042145082042	13.4659501178334	2.48106071052796e-41	3.76371139878463e-39	IRC14	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YOR136W; null mutant displays increased levels of spontaneous Rad52 foci
YPR035W	11901.5884315533	0.919757295255141	0.0687224908386969	13.3836431716942	7.53610106580625e-41	1.11722698300578e-38	GLN1	Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
