	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
ETS2-2	6.91934853817095	-0.242628078319141	0.811689848659	-0.298917226475099	0.76500320287535	0.999457969507645	ETS2-2	ETS2-2
HRA1	21.1608313356202	0.0090456885003271	0.429959686480721	0.0210384572897225	0.983214977976354	0.999457969507645	HRA1	HRA1
ICR1	93.1183530924155	-0.189092217896518	0.237336537844826	-0.796726115639847	0.425610113234547	0.999457969507645	ICR1	Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11, repressing FLO11 transcription in cis
IRT1	88.6495214893999	0.215378095710985	0.233577449487355	0.92208428589184	0.356484612931226	0.999457969507645	IRT1	IRT1
LSR1	35.8081300057236	-0.747366718954957	0.60573299586647	-1.23382203719295	0.217269225802622	0.999457969507645	LSR1	LSR1
NME1	14.8338529047806	0.415205801927837	0.624878891697138	0.664458037300892	0.506397197801306	0.999457969507645	NME1	NME1
Q0020	5.41209754011135	-0.40189728991024	1.68639744261547	-0.238317065570811	0.811635186197897	0.999457969507645	Q0020	Q0020
Q0045	0.710606894974385	-2.98130732444296	3.82389539986744	-0.779651902755057	0.435595796525852	0.999457969507645	COX1	Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
Q0050	1.06476978959507	-1.12778790944749	2.27017346970613	-0.496784904104036	0.619340741718681	0.999457969507645	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0055	0.583796025301301	0.316250387443114	2.48500238008672	0.127263615510935	0.898731756721793	0.999457969507645	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
Q0085	0.315945262490477	0.011669739890553	3.55679624740902	0.0032809694676927	0.997382169813982	0.999457969507645	ATP6	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia
