	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YPL187W	12483.1829092223	10.1839243001973	0.263145787324194	38.7006928887323	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YJR004C	5833.8774362346	4.49631736887648	0.128527270988755	34.9833722780114	4.02754612166776e-268	1.1760434675269901e-264	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YNL145W	2080.95070191956	-8.47055555721559	0.25686166929285	-32.9771101329963	1.72950161835989e-238	3.36676315040725e-235	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YIL015W	1368.84779300527	-4.97460831973757	0.151072559784751	-32.9286028304904	8.56562230248703e-238	1.2505808561631099e-234	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YGL089C	2950.05485228679	5.62629505896631	0.171454761168009	32.8150412425881	3.5930852145475102e-236	4.1967235305914905e-233	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YDR461W	1502.24616368765	-7.7182682311416	0.25094729599697	-30.7565307706475	1.00007367929116e-207	9.73405047843397e-205	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YLR040C	2121.52063338866	4.33596219001314	0.141493759882952	30.6441937340556	3.15796466028559e-206	2.63464480229541e-203	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YFL026W	3249.37766847976	-6.15943305770617	0.21759360898207	-28.3070494878998	2.8300791169832998e-176	2.06595775539781e-173	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YKL178C	1710.42661965011	4.8458560752012	0.184544488375684	26.2584708860896	5.720535486448101e-152	3.7119919156507704e-149	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YKL209C	1033.17996569964	-4.21244660046508	0.177942312186843	-23.6731025279807	6.82609345044773e-124	3.98643857506148e-121	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
