	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YBR069C	3896.93326674242	3.51524823881505	0.0819831505974337	42.8776914914646	0.0	0.0	TAT1	Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress
YBR294W	7898.49291670867	-3.81647027335422	0.0701849611532584	-54.3773225865359	0.0	0.0	SUL1	High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YCL064C	3645.36105488549	5.23745844286674	0.131585744666772	39.8026279832217	0.0	0.0	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YDR461W	15301.4413958409	-7.89017999223357	0.208535387624074	-37.8361681541415	0.0	0.0	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YFL026W	16130.4098701897	-6.96321553684466	0.15363980884748	-45.3216883637046	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YIL015W	4085.39498123861	-5.72718239026612	0.12538310464738	-45.6774651287581	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJR004C	18776.6217592985	5.60951610164519	0.144031533402027	38.9464443594285	0.0	0.0	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YJR010W	7899.68484693589	-4.20761294187424	0.100240452306579	-41.9751990843528	0.0	0.0	MET3	ATP sulfurylase; catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YKL001C	6302.97407772345	-3.70107939789698	0.0720056294039098	-51.3998617682525	0.0	0.0	MET14	Adenylylsulfate kinase; required for sulfate assimilation and involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant
YKL178C	6756.51421966987	5.91497698166437	0.149479068957097	39.5706035830478	0.0	0.0	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YKL209C	4760.63754184296	-4.18334522505115	0.0958647773312112	-43.6379798870002	0.0	0.0	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YNL142W	3385.31135279578	-3.26668802449356	0.081402055498634	-40.1302891491281	0.0	0.0	MEP2	Ammonium permease involved in regulation of pseudohyphal growth; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation
YNL145W	6948.98098211628	-8.32656867703246	0.218077963330742	-38.181614271609	0.0	0.0	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YPL187W	39887.8176295221	10.9289319493995	0.207692432986185	52.6207517157181	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YFR030W	10215.032816041	-3.61555681312768	0.0979676875971335	-36.9056053256632	3.75698896189692e-298	1.70617392056279e-295	MET10	Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide
YLR040C	4420.55396524799	4.25366583478155	0.115844652896776	36.7187067198674	3.6732352790077798e-295	1.56387992003756e-292	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YGL032C	2801.11750072238	-7.37430658057884	0.208869655790232	-35.3057822242254	4.7872800211379595e-273	1.91829126494069e-270	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YKR039W	5343.31334026403	-3.29138926984017	0.0974452530305196	-33.7768045900534	4.32135416269908e-250	1.6353924753503402e-247	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth
YBR093C	60573.1556746922	6.19809174128275	0.184898751994844	33.5215444907685	2.3398637439453697e-246	8.389027275660989e-244	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YLR092W	2719.22741013054	-2.90747300310888	0.0901693370448574	-32.2445866676659	4.1896428432568295e-228	1.42699235241328e-225	SUL2	High affinity sulfate permease; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates
YJL088W	3337.07893200691	-2.4807674680719	0.0795281552081123	-31.1935749242533	1.3021776197048699e-213	4.224016164490261e-211	ARG3	Ornithine carbamoyltransferase; also known as carbamoylphosphate:L-ornithine carbamoyltransferase; catalyzes the biosynthesis of the arginine precursor citrulline
YMR251W	806.77535012258	3.46948616815606	0.112640634633705	30.8013726967932	2.51184475706866e-208	7.77758476597806e-206	GTO3	Omega class glutathione transferase; putative cytosolic localization
YDR281C	2865.53280419122	2.952073259505	0.0960335316918036	30.7400259836218	1.6621353051982598e-207	4.92281117348286e-205	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YGL089C	11038.6758335634	6.81753072551666	0.222183336063119	30.6842576329842	9.232045224138589e-207	2.6203621694513398e-204	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YDR046C	2164.52411638052	4.92516757784044	0.160607547180982	30.6658539046765	1.62454795666868e-206	4.42656827233083e-204	BAP3	Amino acid permease; involved in uptake of cysteine, leucine, isoleucine and valine; BAP3 has a paralog, BAP2, that arose from the whole genome duplication
YPL110C	2819.54643340182	2.16293148956697	0.0763424168794831	28.3319755645338	1.3958901839417099e-176	3.65723228192727e-174	GDE1	Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes
YAR071W	9177.0382036319	3.96913368033345	0.14159830825324	28.0309399829473	6.821326812516831e-173	1.72099549062462e-170	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YBR291C	3102.03659544569	-2.46559093057061	0.0938300560347921	-26.2771976780699	3.49537016737917e-152	8.50373627863817e-150	CTP1	Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family
YBR296C	27929.9053802891	3.13131303692613	0.119715691079703	26.1562457576376	8.368019608410651e-151	1.96561895077563e-148	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YIR034C	6693.35794866816	-2.03179454515346	0.080059887587079	-25.378433649979	4.36403979710237e-142	9.90927969928711e-140	LYS1	Saccharopine dehydrogenase (NAD+, L-lysine-forming); catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway; also has mRNA binding activity
YDL182W	24706.204087534	-2.17254601297393	0.0880820251978045	-24.6650324864247	2.5387548036028497e-134	5.57870894262665e-132	LYS20	Homocitrate synthase isozyme and functions in DNA repair; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication
YAR015W	7494.86752883	-2.01166970771875	0.081645914781334	-24.6389511723452	4.83404984809392e-134	1.02904836141299e-131	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress
YFL004W	8629.5513663225	1.47327857908725	0.0599342586537897	24.5815767505801	1.9885840479644502e-133	4.10491955597994e-131	VTC2	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC2 has a paralog, VTC3, that arose from the whole genome duplication
YOL082W	2813.60694984724	1.75983682423828	0.0724583930478507	24.2875497263112	2.65403971566186e-130	5.31744663032018e-128	ATG19	Receptor protein for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Ape1p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles; interaction with Atg19p during the Cvt pathway requires phosphorylation by Hrr25p
YLR359W	13179.1350270617	-1.72080370959683	0.0708841588071342	-24.2762803220801	3.49099976908233e-130	6.79448297913966e-128	ADE13	Adenylosuccinate lyase; catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency; human ADSL can complement yeast ADE13 null mutant
YLR303W	30431.0297759143	-2.93748846158473	0.123797906266826	-23.7280948455902	1.8498223097660399e-124	3.50027488170175e-122	MET17	O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis
YJR137C	10357.9179221246	-3.26482930948969	0.138187901582183	-23.6260140874056	2.08292322575413e-123	3.83483054428031e-121	MET5	Sulfite reductase beta subunit; involved in amino acid biosynthesis, transcription repressed by methionine
YDR216W	1367.39840742716	2.54071557805208	0.110051896864674	23.0865223629564	6.32415049672899e-118	1.13368718904521e-115	ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization
YMR120C	18642.6891341415	-4.41292705198602	0.191232153655022	-23.0762817216754	8.01396864910133e-118	1.3997731907096999e-115	ADE17	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine
YJL200C	13241.110219024	-1.99692490032492	0.0871303890686067	-22.9188107808464	3.0170599377987e-116	5.13805307407119e-114	ACO2	Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol
YPR167C	2906.32139050728	-2.62447463973441	0.116932021510709	-22.4444476870183	1.4499359383275102e-111	2.40901551509439e-109	MET16	3'-phosphoadenylsulfate reductase; reduces 3'-phosphoadenylyl sulfate to adenosine-3',5'-bisphosphate and free sulfite using reduced thioredoxin as cosubstrate, involved in sulfate assimilation and methionine metabolism
YGL234W	14982.868908937	-1.61355144031648	0.0720944304531822	-22.3810831179852	6.0165296073592204e-111	9.75823802031691e-109	ADE5,7	Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities
YHR136C	4683.86532546941	2.90748870894087	0.131666527841041	22.082216009	4.6854118845986696e-108	7.42256412974096e-106	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YOL119C	1660.69120642908	-2.28342236218431	0.103760497342435	-22.0066636212089	2.48629118793294e-107	3.84923081186345e-105	MCH4	Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport
YOR338W	1854.01151567962	-2.12520563272074	0.0988768178360025	-21.4934671162822	1.7921601925623e-102	2.7129322737187497e-100	YOR338W	Putative protein of unknown function; YOR338W transcription is regulated by Azf1p and its transcript is a specific target of the G protein effector Scp160p; identified as being required for sporulation in a high-throughput mutant screen; YOR338W has a paralog, FUN19, that arose from the whole genome duplication
