	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YFL026W	12149.4052732369	6.49892319818983	0.171891398008382	37.8083096274133	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YIL015W	5154.50641516288	6.01677801330087	0.127798514227019	47.0801875099486	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YKL178C	7044.48574447419	-5.42047594915971	0.137335700435735	-39.4688047751734	0.0	0.0	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YNL145W	8698.84289250013	8.60030996684446	0.194953100388684	44.1147637544505	0.0	0.0	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YPL187W	41314.8187337584	-10.8279852409587	0.211878809065518	-51.1046163073835	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YGL032C	3003.7297676324	7.42429580427592	0.201127712069335	36.9133409209992	2.8232587533541e-298	3.0782931274070897e-295	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YDR461W	12124.7547236746	7.50187128952049	0.20698223797565	36.244034091481	1.23379172079453e-287	1.1530664910625501e-284	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YCR098C	3994.0567495917	4.26609935160485	0.12448927791182	34.2688095164844	2.288369104987e-257	1.87131383560312e-254	GIT1	Plasma membrane permease; mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability
YJR004C	19526.7146834597	-5.34322081991336	0.17752058340829	-30.0991621215223	4.96922472461875e-199	3.6120742387173205e-196	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YLR040C	4680.81028672259	-3.71828149028102	0.1244613856853	-29.8749806601276	4.1599933719110996e-196	2.72146766390424e-193	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YKL209C	2960.07648242793	3.39299213079053	0.113864893174969	29.7984043736531	4.097070815218719e-195	2.43663975210553e-192	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YGL089C	11454.5126540247	-6.54769821135329	0.242507814012846	-26.9999473543003	1.4800013027142198e-160	8.068473768630339e-158	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YGL121C	1373.57051417732	3.53640182293789	0.148890947001611	23.7516242199711	1.05708793424738e-124	5.319591742958749e-122	GPG1	Proposed gamma subunit of the heterotrimeric G protein; interacts with the receptor Gpr1p; involved in regulation of pseudohyphal growth; requires Gpb1p or Gpb2p to interact with Gpa2p; overproduction causes prion curing
YNL160W	6213.76908996303	2.54839771251977	0.114325512891536	22.2907175140995	4.5464756299035605e-110	2.12450311220208e-107	YGP1	Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; YGP1 has a paralog, SPS100, that arose from the whole genome duplication
YHL033C	12070.1025210377	-1.79247677143932	0.0823936915553086	-21.7550244151409	6.19135001269363e-105	2.70025411886945e-102	RPL8A	Ribosomal 60S subunit protein L8A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication
YKL177W	337.411077762543	-4.69473537949773	0.228297368199354	-20.5641239604575	5.75294188551525e-94	2.3522341134400503e-91	YKL177W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3
YKL120W	4097.55392729884	-1.73156143408369	0.0857450686305724	-20.1942976049622	1.09878123715495e-90	4.2283687373339303e-88	OAC1	Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
YDR070C	1389.54361571783	3.09086404041988	0.156419141498032	19.7601393973817	6.56232933676929e-87	2.38504214006359e-84	FMP16	Protein of unknown function; may be involved in responding to conditions of stress; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress
YML128C	6421.55998513451	2.37629063383785	0.121244928314919	19.5990930661092	1.57404251185154e-85	5.4196769013330495e-83	MSC1	Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated
YKR039W	3317.81714359189	2.45120098230879	0.128032251466419	19.145183766074	1.06163419120105e-81	3.4726054394186397e-79	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth
YMR174C	448.157278206097	4.12953843675592	0.217903251144282	18.9512474690963	4.31238354275298e-80	1.34341014936619e-77	PAI3	Cytoplasmic proteinase A (Pep4p) inhibitor; dependent on Pbs2p and Hog1p protein kinases for osmotic induction; intrinsically unstructured, N-terminal half becomes ordered in the active site of proteinase A upon contact
YGR256W	1944.46277724649	4.24323832338915	0.224986603067311	18.859959951125	2.4340420707315998e-79	7.237956012148229e-77	GND2	6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone; GND2 has a paralog, GND1, that arose from the whole genome duplication
YDR453C	1118.47844127682	3.31872901774751	0.176205667104889	18.8344056821509	3.94531025505264e-79	1.12218346471975e-76	TSA2	Stress inducible cytoplasmic thioredoxin peroxidase; cooperates with Tsa1p in the removal of reactive oxygen, nitrogen and sulfur species using thioredoxin as hydrogen donor; deletion enhances the mutator phenotype of tsa1 mutants; protein abundance increases in response to DNA replication stress; TSA2 has a paralog, TSA1, that arose from the whole genome duplication
YPL223C	3304.11216342406	4.81970976171846	0.257105492215948	18.7460396904718	2.08555637923261e-78	5.68487909705823e-76	GRE1	Hydrophilin essential in desiccation-rehydration process; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; GRE1 has a paralog, SIP18, that arose from the whole genome duplication
YCL048W-A	538.963389277158	4.69468292443958	0.255015313050372	18.4094157652104	1.1040715370429701e-75	2.88913439813404e-73	YCL048W-A	Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCL048W-A has a paralog, YDR524C-B, that arose from the whole genome duplication
YJL170C	327.213446102826	4.10509257665487	0.223312525878617	18.3827242135366	1.80663659819589e-75	4.5457756251529e-73	ASG7	Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor
YHR203C	20559.4715813928	-1.76691519491455	0.0963059315071284	-18.3468989631627	3.49498894406444e-75	8.46822876743318e-73	RPS4B	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4B has a paralog, RPS4A, that arose from the whole genome duplication
YBR285W	677.70180668446	3.52048699032232	0.197612258806204	17.8151244846344	5.393777061271e-71	1.2602174833869601e-68	YBR285W	Putative protein of unknown function; YBR285W is not an essential gene
YNL301C	4039.75157844898	-1.70385499288972	0.0964514431921363	-17.6654172970284	7.743803292930169e-70	1.74689521180514e-67	RPL18B	Ribosomal 60S subunit protein L18B; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18B has a paralog, RPL18A, that arose from the whole genome duplication
YMR090W	2334.43159593165	2.28767540222877	0.129982636649597	17.5998538050572	2.46960885412923e-69	5.38539370790448e-67	YMR090W	Putative protein of unknown function; similar to DTDP-glucose 4,6-dehydratases; GFP-fusion protein localizes to the cytoplasm; up-regulated in response to the fungicide mancozeb; not essential for viability
YPL131W	38874.9727149079	-1.92678652748636	0.109610513420274	-17.578482823984	3.60083167738386e-69	7.59891639788555e-67	RPL5	Ribosomal 60S subunit protein L5; nascent Rpl5p is bound by specific chaperone Syo1p during translation; homologous to mammalian ribosomal protein L5 and bacterial L18; binds 5S rRNA and is required for 60S subunit assembly
YJR145C	25733.5899637175	-1.99851801335732	0.115371820359665	-17.3224103349246	3.18723456182899e-67	6.51590265733913e-65	RPS4A	Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4A has a paralog, RPS4B, that arose from the whole genome duplication
YNL015W	4518.26258974338	1.89333775004068	0.109821681222806	17.2401089562586	1.32786333184842e-66	2.63238845968253e-64	PBI2	Cytosolic inhibitor of vacuolar proteinase B (PRB1); required for efficient vacuole inheritance; with thioredoxin forms protein complex LMA1, which assists in priming SNARE molecules and promotes vacuole fusion; protein abundance increases in response to DNA replication stress
YGR043C	738.341276875165	2.83614763340156	0.166348551112507	17.0494279296931	3.52970959374864e-65	6.79157651832459e-63	NQM1	Transaldolase of unknown function; transcription is repressed by Mot1p and induced by alpha-factor and during diauxic shift; NQM1 has a paralog, TAL1, that arose from the whole genome duplication
YLR264W	8586.583101345	-1.91188211629633	0.112926121673309	-16.9303796851126	2.68641617476833e-64	5.021295604381269e-62	RPS28B	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S28, no bacterial homolog; has an extraribosomal function in autoregulation, in which Rps28Bp binds to a decapping complex via Edc3p, which then binds to RPS28B mRNA leading to its decapping and degradation; RPS28B has a paralog, RPS28A, that arose from the whole genome duplication
YOR317W	4889.53033040558	-1.70288805462607	0.102350915058763	-16.6377413787496	3.7136349165695796e-62	6.74849989561061e-60	FAA1	Long chain fatty acyl-CoA synthetase; activates fatty acids with a preference for C12:0-C16:0 chain lengths; role in the competitive import of long-chain fatty acids and sphingoid long-chain bases; accounts for most acyl-CoA synthetase activity; localizes to lipid particles and the plasma membrane; role in sphingolipid-to-glycerolipid metabolism; forms ER foci upon replication stress; faa1 faa4 double null complemented by any of human ACSBG1, ACSL1, 3, 4, 5, 6, SLC27A2, or 4
YDR025W	16200.2798566552	-1.77753370422528	0.108074257645081	-16.4473367012406	8.763806813871731e-61	1.54953578854997e-58	RPS11A	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; N-terminally propionylated in vivo; RPS11A has a paralog, RPS11B, that arose from the whole genome duplication
