	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YMR303C	7297.65318757887	5.06976119345681	0.132422106155961	38.2848554567306	0.0	0.0	ADH2	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YHR092C	21899.5805292064	7.0046891546316	0.211057381888527	33.1885532358741	1.57471178410788e-241	5.213083361289129e-238	HXT4	High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication
YJR048W	1373.79417443348	3.5096503634799	0.130066827514965	26.9834394405913	2.31226933480573e-160	5.1031784219162504e-157	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YGL009C	6705.64888890158	2.82888484139861	0.106991064564772	26.44038409101	4.70694766192363e-154	7.791175117399081e-151	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
YJR095W	2442.28644427612	7.10481678299857	0.270993021719624	26.2177112086281	1.66943029407765e-151	2.21065959541763e-148	SFC1	Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization
YKL217W	2008.10100974944	4.88238127159673	0.186452481723426	26.1856598875365	3.87095319372056e-151	4.27159684927064e-148	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YOR153W	14889.5891060086	-3.44089263496507	0.13873185775163	-24.8024692434038	8.43153431722322e-136	7.97502695919071e-133	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YJR121W	15911.6063205647	1.98047195511093	0.0818096532703872	24.2082917594738	1.81956294666229e-129	1.50591578373138e-126	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YPL134C	1493.87309087049	3.23469970198676	0.134184562501491	24.1063475684904	2.1445190924990398e-128	1.5776512123817898e-125	ODC1	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication
YLR377C	2150.58517060288	5.34742106871203	0.222144822650117	24.0717789634662	4.93854508646636e-128	3.26981070174938e-125	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YBR039W	4869.15525547793	2.11090189796005	0.0882517112291918	23.9191044406832	1.93815008219133e-126	1.1665901540171599e-123	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YDL215C	3840.2906567229	2.82142907530123	0.118266092533022	23.8566187050903	8.645087681220849e-126	4.7699271281136e-123	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YDR298C	3188.73466358612	1.84044375398748	0.0836059980135307	22.0132980613379	2.1478514572700098e-107	1.0939172691218999e-104	ATP5	Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated
YFR033C	2515.86273855846	2.62903983480656	0.120139555987135	21.8832158418173	3.75415541037042e-106	1.77544735514733e-103	QCR6	Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space
YKL016C	3242.56076711443	2.0741759373473	0.0960638630793179	21.5916357187791	2.1525799292427399e-103	9.501487807677449e-101	ATP7	Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YDR461W	1789.40066239374	-2.38952437114829	0.112446096496886	-21.2503985962239	3.26878946676671e-100	1.3526659412163998e-97	MFA1	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2
YDR377W	1801.14584597239	1.9693530853957	0.0934458602143235	21.0748028952687	1.3546892627968901e-98	5.2761162405754095e-96	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YNL117W	1060.42516449047	4.91807487355158	0.235735215829806	20.862707577396	1.16864637989683e-96	4.29867093405383e-94	MLS1	Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA
YDR028C	777.859999061112	-8.25757294405954	0.403970009587677	-20.4410544052214	7.21632067767552e-93	2.51469785299419e-90	REG1	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication
YBL043W	494.664465511308	2.63811742701732	0.129095120709431	20.43545420245	8.09362163845291e-93	2.67939344340984e-90	ECM13	Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication
YER065C	3201.53483918831	3.23099154204781	0.159731426239059	20.2276509896819	5.590339464102021e-91	1.76255417103902e-88	ICL1	Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
YJL153C	5194.59641465639	6.00652209755055	0.310672666441026	19.3339252093192	2.7840883254868897e-83	8.37884036502215e-81	INO1	Inositol-3-phosphate synthase; involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element
YDR277C	1671.44197612927	3.31888238430716	0.174197833516706	19.0523746323681	6.27883035296755e-81	1.80748416378253e-78	MTH1	Negative regulator of the glucose-sensing signal transduction pathway; required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation; MTH1 has a paralog, STD1, that arose from the whole genome duplication
YDR216W	1730.86030817945	2.15272146153979	0.113758030154131	18.923687924475	7.27792686685546e-80	2.00779807439375e-77	ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization
