	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YAR071W	12538.0509300076	8.47941821489344	0.156140149069107	54.3064565100451	0.0	0.0	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YBR093C	74675.7710600757	7.92005938894476	0.150248422452486	52.7130951504624	0.0	0.0	PHO5	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
YBR296C	32785.2105419644	9.98881736324786	0.179860462340867	55.5364821887165	0.0	0.0	PHO89	Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
YDR281C	4271.51768655319	7.08005179166382	0.158799811913593	44.5847618227424	0.0	0.0	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YFL026W	7715.54926378681	-5.72432723392345	0.118064298183194	-48.4848283690409	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YGL089C	11552.9562361819	6.90601138825968	0.134057549993876	51.5152737654475	0.0	0.0	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YHR136C	4638.87998346684	8.87967644476507	0.217084823423059	40.9041788585109	0.0	0.0	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YHR215W	16649.6706640185	7.56398411761356	0.126421874589181	59.8312921888982	0.0	0.0	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YJL133C-A	3921.15618631581	4.75803017740373	0.124496212281537	38.2182725900438	0.0	0.0	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YJR004C	16592.5141524875	5.73164232529082	0.145076218358793	39.5078007279987	0.0	0.0	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YKL178C	6930.97529853457	8.31003704880177	0.179625664278451	46.2630831857066	0.0	0.0	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YML123C	49562.8959696345	6.73078979973744	0.0899274151154101	74.846917273218	0.0	0.0	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YPL019C	15485.8329770372	4.03915639286553	0.0990139037467644	40.7938303614003	0.0	0.0	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YPL187W	44938.6168723402	11.6301816265365	0.193060789730067	60.2410341467968	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YJL012C	15760.340943747	2.94608193733277	0.0861148290977161	34.2110873144717	1.65424127592863e-256	7.51687235781971e-254	VTC4	Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress
YLR040C	5092.2539650776	4.11928430892229	0.122367570363487	33.6632025681818	1.99855076045817e-248	8.5138262395518e-246	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YCL064C	6720.35855976395	5.95199500784887	0.187534659952362	31.7381064884795	4.63346103178534e-221	1.8577453172146399e-218	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YKL209C	3667.63560707869	-3.60921012859764	0.11543528594287	-31.2660907721394	1.3493837011243701e-214	5.10966628159095e-212	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YPR036W-A	13199.1312419409	3.50539332433875	0.115650437180482	30.3102470669289	8.40046805688227e-202	3.01355738293208e-199	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YMR251W	1026.28784833545	5.00716579804477	0.166936709607025	29.9943961387033	1.16119898748416e-197	3.9573661493460295e-195	GTO3	Omega class glutathione transferase; putative cytosolic localization
YNL145W	3822.88210233592	-6.96403349405562	0.232681631268203	-29.9294510533513	8.145743754907571e-197	2.64387568730714e-194	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YER062C	8456.79742192388	3.16961582274221	0.107088456539434	29.5981091255624	1.5803808604141299e-192	4.8963072475376e-190	GPP2	DL-glycerol-3-phosphate phosphatase involved in glycerol biosynthesis; also known as glycerol-1-phosphatase; induced in response to hyperosmotic or oxidative stress, and during diauxic shift; GPP2 has a paralog, GPP1, that arose from the whole genome duplication
YOR382W	1698.82486180407	3.76765206378146	0.133984954952205	28.1199636565572	5.58506658177854e-174	1.65512234006098e-171	FIT2	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
