	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YFL026W	11973.8130914043	6.37411584602936	0.107093704400236	59.5190527933156	0.0	0.0	STE2	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells
YGL089C	11509.8085001267	-6.86724864303474	0.131478415198697	-52.2309964921358	0.0	0.0	MF(ALPHA)2	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; binds copper(II) ions
YIL015W	4127.22242672244	5.31374117173321	0.132186774056087	40.1987355367231	0.0	0.0	BAR1	Aspartyl protease; secreted into the periplasmic space of mating type a cell; helps cells find mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest
YJL133C-A	3892.79260354707	-4.90472355020398	0.125034402757518	-39.2269922680065	0.0	0.0	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YJR004C	16601.4214131958	-5.41805653665974	0.127410153179176	-42.5245272960338	0.0	0.0	SAG1	Alpha-agglutinin of alpha-cells; binds to Aga1p during agglutination, N-terminal half is homologous to the immunoglobulin superfamily and contains binding site for a-agglutinin, C-terminal half is highly glycosylated and contains GPI anchor
YKL178C	6962.35281664388	-6.40415012583624	0.138235640997391	-46.3277782750477	0.0	0.0	STE3	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR
YPL187W	44756.1627195049	-11.9043034030365	0.204552225482797	-58.1968901826378	0.0	0.0	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor; binds copper(II) ions
YNL145W	5390.37261899498	7.46932015588782	0.201977670866924	36.9809203355409	2.3205054434293e-299	1.9724296269149e-296	MFA2	Mating pheromone a-factor; made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1
YKL209C	3754.65884244096	3.65169409768447	0.107717692647641	33.9005970878865	6.52805961109483e-252	4.932311706160539e-249	STE6	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell
YJL012C	15661.107554295	-2.9782213896921	0.0880077284676508	-33.8404528959841	5.01489577341763e-251	3.41012912592399e-248	VTC4	Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress
YLR040C	5138.3689266898	-3.80424605204286	0.118257631555327	-32.1691378561309	4.76996045889303e-227	2.94870282913387e-224	AFB1	MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W
YGL032C	1945.91886629752	6.34118360416418	0.197961711326545	32.0323741478683	3.86375105181992e-225	2.0685332589207798e-222	AGA2	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YMR251W	1033.91998847238	-4.54311738097448	0.141832138628451	-32.0316497015942	3.95454887734854e-225	2.0685332589207798e-222	GTO3	Omega class glutathione transferase; putative cytosolic localization
