	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YCR021C	11019.5090636514	-2.97116617614508	0.0898266610938156	-33.0766627632076	6.43712020181116e-240	4.20215206774233e-236	HSP30	Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase
YER053C	6042.43912514909	-2.34836889545911	0.0796565988450553	-29.4811594959893	5.02125611080778e-191	1.63893799456766e-187	PIC2	Mitochondrial copper and phosphate carrier; imports copper and inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature
YJL052W	15919.8587100673	-2.31605970207704	0.0807356156636675	-28.6869640249652	5.54836731487204e-181	1.20732472771615e-177	TDH1	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 1; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; protein abundance increases in response to DNA replication stress; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bateria
YHR018C	9530.36466116596	-2.1091556005656	0.0819540505448072	-25.7358310729554	4.64477686237996e-146	7.5802758394040905e-143	ARG4	Argininosuccinate lyase; catalyzes the final step in the arginine biosynthesis pathway
YER150W	4383.51384815298	-2.11686688106022	0.0836645505641291	-25.3018377172496	3.04889062371302e-141	3.98063159831971e-138	SPI1	GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog, SED1, that arose from the whole genome duplication
YBR145W	2796.66457990553	-2.87989266648124	0.11956551224727	-24.0863156302581	3.4779395751744e-128	3.7839982577897496e-125	ADH5	Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication
YMR062C	5694.88719504475	-1.93444982591592	0.0827127403765016	-23.3875678294597	5.71912530298819e-121	5.33349285398671e-118	ARG7	Mitochondrial ornithine acetyltransferase; catalyzes the fifth step in arginine biosynthesis; also possesses acetylglutamate synthase activity, regenerates acetylglutamate while forming ornithine
YPL061W	13382.7731877318	2.36723304077877	0.102409689930775	23.1153228017674	3.24727738022225e-118	2.64977834226135e-115	ALD6	Cytosolic aldehyde dehydrogenase; activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress
YGL117W	1379.87854911785	-2.73749141230816	0.118518945378682	-23.0975006026383	4.90567370234631e-118	3.55824865876852e-115	YGL117W	Putative protein of unknown function
YBL043W	1138.9576418683	-2.40694457634929	0.105532964003264	-22.8075142120982	3.86182076455636e-115	2.52099659510239e-112	ECM13	Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication
YIL116W	3582.63566990774	-1.77542134620462	0.0798555950337726	-22.2328985896825	1.6512092517941801e-109	9.799176359738579e-107	HIS5	Histidinol-phosphate aminotransferase; catalyzes the seventh step in histidine biosynthesis; responsive to general control of amino acid biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts
YER069W	5115.47888562028	-2.08346490649845	0.0961576630060283	-21.6671749433827	4.18667144363946e-104	2.27754926533987e-101	ARG5,6	Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine
YMR102C	4498.32975127677	-1.84466194801179	0.0860901550571545	-21.4270951979019	7.46974773058752e-102	3.75096255271349e-99	YMR102C	Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; not an essential gene; YMR102C has a paralog, DGR2, that arose from the whole genome duplication
YPL250C	1672.46216041403	-2.39444392181259	0.11313954653547	-21.1636337172513	2.0666566552964e-99	9.63652474698206e-97	ATG41	Protein of unknown function; required for selective and nonselective autophagy, and mitophagy; regulates the rate of autophagosome formation; interacts with Atg9p, and has a similar peri-mitochondrial localization; elevated Gcn4p-dependent expression under autophagy-inducing conditions; mobilized into polysomes upon a shift from a fermentable to nonfermentable carbon source; potential Cdc28p substrate; ATG41 has a paralog, ICY1, that arose from the whole genome duplication
YBR054W	13858.4931645706	-2.4841665264864	0.117418472172992	-21.156522313001	2.40306407184557e-99	1.04581348406719e-96	YRO2	Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed in plasma membrane foci in the presence of acetic acid; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies
YMR195W	1829.75190998097	-1.69422102079974	0.0804245384967598	-21.0659713125739	1.63243741934583e-98	6.66034467093097e-96	ICY1	Protein of unknown function; required for viability in rich media of cells lacking mitochondrial DNA; mutants have an invasive growth defect with elongated morphology; induced by amino acid starvation; ICY1 has a paralog, ICY2, that arose from the whole genome duplication
YER175C	1965.06503627434	-1.99026928617794	0.0966999552281923	-20.5819049396798	3.98701473364429e-94	1.5310136577194102e-91	TMT1	Trans-aconitate methyltransferase; cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle
YHR071W	6603.04074189245	-1.83682653568412	0.0895672104980327	-20.5078010744174	1.83400249235551e-93	6.30124645794567e-91	PCL5	Cyclin; interacts with and phosphorylated by Pho85p cyclin-dependent kinase (Cdk), induced by Gcn4p at level of transcription, specifically required for Gcn4p degradation, may be sensor of cellular protein biosynthetic capacity
YOR049C	1320.23745307349	-1.73660379354984	0.0846695536965158	-20.5103690492383	1.7396941042239901e-93	6.30124645794567e-91	RSB1	Putative sphingoid long-chain base (LCB) efflux transporter; integral membrane transporter that localizes to the plasma membrane and may transport long chain bases (LCBs) from the cytoplasmic side toward the extracytoplasmic side of the membrane; role in glycerophospholipid translocation; suppressor of the sphingoid LCB sensitivity of an LCB-lyase mutation
YOR134W	485.745814057924	-2.60598399892501	0.131312340571089	-19.8456899602228	1.20069046144728e-87	3.91905366616391e-85	BAG7	Rho GTPase activating protein (RhoGAP); stimulates the intrinsic GTPase activity of Rho1p, which plays a bud growth by regulating actin cytoskeleton organization and cell wall biosynthesis, resulting in the downregulation of Rho1p; structurally and functionally related to Sac7p; BAG7 has a paralog, SAC7, that arose from the whole genome duplication
YNL037C	13623.0464565751	-1.62086283904345	0.0827036814835649	-19.5984363690697	1.59448522950877e-85	4.9565712277301294e-83	IDH1	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle
YDR035W	10211.3558697762	-1.44647817257861	0.0743946482482656	-19.4433095207535	3.32039228328531e-84	9.852509466039309e-82	ARO3	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan
YOR136W	17239.6955341247	-1.63395846099075	0.0848353007458206	-19.2603603290844	1.15571521621955e-82	3.28022127455704e-80	IDH2	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated
