	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YPL240C	2596.8598981493	-1.93708217071365	0.161958269017023	-11.9603783275188	5.73002612150748e-33	3.44145368857739e-29	HSP82	Hsp90 chaperone; redundant in function with Hsc82p; required for pheromone signaling, negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; protein abundance increases in response to DNA replication stress; contains two acid-rich unstructured regions that promote solubility of chaperone-substrate complexes; HSP82 has a paralog, HSC82, that arose from the whole genome duplication
YOR136W	4384.59104438691	-1.46978021187525	0.140334754772805	-10.4733871110884	1.1447224979994402e-25	3.4376016614923297e-22	IDH2	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated
YNL037C	3474.5356964286	-1.43734146598518	0.146612630129366	-9.8036674242657	1.0857052957030099e-22	2.17358200199743e-19	IDH1	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle
YJL133C-A	809.644203608264	-2.42692816110835	0.274425199473192	-8.8436782254956	9.26180830988933e-19	1.39066051772988e-15	YJL133C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YNR001C	2432.74525975716	-1.13811525730126	0.134980549202038	-8.43169822636992	3.40684597949558e-17	4.09230339057009e-14	CIT1	Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein; CIT1 has a paralog, CIT2, that arose from the whole genome duplication
YOR107W	2162.47615433945	1.23746231720807	0.178513907940365	6.93202188829715	4.14867746457523e-12	4.15282614203981e-09	RGS2	Negative regulator of glucose-induced cAMP signaling; directly activates the GTPase activity of the heterotrimeric G protein alpha subunit Gpa2p
YCL040W	1855.38841188369	-0.892174443715577	0.135322624174201	-6.59294370885893	4.3119010032480396e-11	3.69961106078682e-08	GLK1	Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication
YDR258C	657.151816921204	-1.21136439593883	0.186989530134377	-6.47824717816179	9.279425328662859e-11	6.96652856549364e-08	HSP78	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates
YDR399W	8769.1922491876	0.557676635674726	0.088836290299481	6.2775768077968	3.4389039352809103e-10	2.29489522614413e-07	HPT1	Dimeric hypoxanthine-guanine phosphoribosyltransferase; catalyzes the transfer of the phosphoribosyl portion of 5-phosphoribosyl-alpha-1-pyrophosphate to a purine base (either guanine or hypoxanthine) to form pyrophosphate and a purine nucleotide (either guanosine monophosphate or inosine monophosphate); mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome
YDR492W	3273.63321003743	0.753863865001782	0.125416161124753	6.01089890043681	1.8449744127477702e-09	1.10809163229631e-06	IZH1	Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; transcription is regulated directly by Zap1p, expression induced by zinc deficiency and fatty acids; deletion increases sensitivity to elevated zinc; IZH1 has a paralog, IZH4, that arose from the whole genome duplication
YDR171W	286.988859809755	-1.77576202462681	0.298895477657513	-5.94108026840591	2.83149918207016e-09	1.54599855341031e-06	HSP42	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress
YJL164C	239.663695812478	-1.26604021458764	0.21820353361744	-5.8021068385047	6.54868114555953e-09	3.27761491335254e-06	TPK1	cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; phosphorylates and inhibits Whi3p to promote G1/S phase passage; partially redundant with Tpk2p and Tpk3p; phosphorylates pre-Tom40p, which impairs its import into mitochondria under non-respiratory conditions; TPK1 has a paralog, TPK3, that arose from the whole genome duplication
YGL229C	278.442295474934	-0.940291304459354	0.16848939328851	-5.58071511866187	2.39531694997109e-08	1.10663643088664e-05	SAP4	Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p, including Sap155p, Sap185p, and Sap190p; SAP4 has a paralog, SAP155, that arose from the whole genome duplication
YNL007C	3115.29351582758	-0.97890242081777	0.175941247058273	-5.56380290116705	2.63958068887576e-08	1.1323801155277e-05	SIS1	Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; shuttles between cytosol and nucleus; mediates delivery of misfolded proteins into the nucleus for degradation; involved in proteasomal degradation of misfolded cytosolic proteins; protein abundance increases in response to DNA replication stress; polyQ aggregates sequester Sis1p and interfere with clearance of misfolded proteins; similar to bacterial DnaJ proteins and mammalian DnaJB1
YLL026W	2327.23841142859	-0.948967971156919	0.178832359318611	-5.30646676458716	1.11770528777599e-07	4.47529197225508e-05	HSP104	Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation
YER006W	9345.33008877019	0.426290246594212	0.0828521173589072	5.14519435571652	2.67243982773015e-07	9.4415727090278e-05	NUG1	GTPase that associates with nuclear 60S pre-ribosomes; required for export of 60S ribosomal subunits from the nucleus
