	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YML123C	12049.5781333352	-5.64540438723873	0.184992429720268	-30.5169481571506	1.5529433717162498e-204	1.0086367199297e-200	PHO84	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity
YHR136C	552.400628322089	-6.79427120179492	0.306457117088218	-22.1703815083502	6.6345722918596505e-109	2.15457735178142e-105	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm
YOR153W	14230.7538512934	3.41254117572643	0.15940394625698	21.4081348414358	1.12214631143991e-101	2.42944676426741e-98	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication
YPL019C	3712.07126035226	-3.35627895148475	0.159771869050091	-21.0066951800664	5.6963859520416804e-98	9.24950668962767e-95	VTC3	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC3 has a paralog, VTC2, that arose from the whole genome duplication
YJR048W	1738.50579451125	-3.94630909049324	0.193745431269505	-20.3685272196371	3.18101309460682e-92	4.13213600989427e-89	CYC1	Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia
YDR281C	273.552037670368	-3.91099176508621	0.213932696307917	-18.2814120168759	1.16373886902269e-74	1.25974732571706e-71	PHM6	Protein of unknown function; expression is regulated by phosphate levels
YHR215W	1166.64160055898	-4.59720322828031	0.273686312091136	-16.7973443507451	2.55217707857088e-63	2.36805573218826e-60	PHO12	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; pregulated by phosphate starvation; PHO12 has a paralog, PHO11, that arose from a segmental duplication
YDR377W	1807.01700320176	-2.05961424717777	0.123167666190285	-16.722036804658	9.05701742414841e-63	7.35316602123049e-60	ATP17	Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YHL047C	1404.42038767245	2.42405253408954	0.149404073677061	16.2248088317134	3.3676443970055103e-59	2.43031670650564e-56	ARN2	Transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C
YBR039W	5046.66948543925	-2.25629015732478	0.140148696823189	-16.0992589190558	2.58178294168029e-58	1.67686802062135e-55	ATP3	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YER072W	3479.63208425477	-1.96030131790425	0.122198167677802	-16.0419861865109	6.50405241203595e-58	3.84034731056123e-55	VTC1	Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress
YLL052C	296.467615411922	-3.47699273711249	0.221447286351769	-15.7012207934185	1.4835933715931198e-55	8.02994912374777e-53	AQY2	Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
YLL053C	322.673109708551	-3.51305556689257	0.22652946452622	-15.5081617053217	3.05500702507584e-54	1.52632850983597e-51	YLL053C	Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin
YJL012C	3812.8502916103	-2.08635259154272	0.135432552911666	-15.4051042137817	1.51245095663768e-53	7.01669211668694e-51	VTC4	Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress
YGR183C	990.298467979693	-2.1804454391161	0.14513936670163	-15.0231152902751	5.18141976474243e-51	2.24355475813347e-48	QCR9	Subunit 9 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; required for electron transfer at the ubiquinol oxidase site of the complex
YMR256C	795.859992507708	-2.48329860200448	0.167875423916013	-14.7925083021494	1.63736375680787e-49	6.646673500291961e-47	COX7	Subunit VII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
YAR071W	537.847735990409	-4.05403372714242	0.27972379674141	-14.4929883491112	1.34175966445648e-47	5.1263111886146304e-45	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YOR383C	3464.70454853521	4.17241984967384	0.289403244291132	14.4173223071283	4.02663857869185e-47	1.4529454204779701e-44	FIT3	Mannoprotein that is incorporated into the cell wall; incorporated via a glycosylphosphatidylinositol (GPI) anchor; involved in the retention of siderophore-iron in the cell wall 
YLR136C	827.75208532228	2.19598456913799	0.153896860726231	14.2691966475161	3.40478178085651e-46	1.16389777192963e-43	TIS11	mRNA-binding protein expressed during iron starvation; binds to a sequence element in the 3'-untranslated regions of specific mRNAs to mediate their degradation; involved in iron homeostasis; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; TIS11 has a paralog, CTH1, that arose from the whole genome duplication
YPL271W	1906.25830842599	-1.96415133762175	0.137834102192248	-14.2501115934444	4.47565479221667e-46	1.45346889377236e-43	ATP15	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
YER175C	639.247608361312	2.42695408116588	0.171815312507315	14.1253654621881	2.65021397029627e-45	8.196733208130609e-43	TMT1	Trans-aconitate methyltransferase; cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle
YPR036W-A	5716.27171691436	3.79979264158852	0.271385547862835	14.0014553888811	1.5271105874922902e-44	4.50844693898291e-42	SPO24	Small (67 amino acids) protein involved in sporulation; localizes to the prospore membrane; phosphorylated during meiosis; a longer, 5'-extended mRNA is also transcribed beginning in mid-meiosis, regulated by two MSEs (middle sporulation elements), and includes an uORF of 15 codons in its 5'-UTR; evidence transcription is regulated by Pdr1p
YJR121W	15780.2043149909	-2.04981729990639	0.151967886372018	-13.4884898964011	1.82806514965559e-41	5.16229702044046e-39	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated
