	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	common_name	description
YCR021C	13168.1669728816	-6.28671184230796	0.129163772564676	-48.6724080404203	0.0	0.0	HSP30	Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase
YDR343C	3389.55343561693	-6.55217981081018	0.146769741846469	-44.6425791064224	0.0	0.0	HXT6	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication
YER103W	27913.0882599118	-5.93013144916355	0.122970847121965	-48.2238806022207	0.0	0.0	SSA4	Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog, SSA3, that arose from the whole genome duplication
YFR015C	4852.29883543004	-5.95528330771966	0.125713953703186	-47.3716968744793	0.0	0.0	GSY1	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
YGR142W	34414.9589720099	-7.34210906633351	0.112225555305502	-65.4227911490097	0.0	0.0	BTN2	v-SNARE binding protein; facilitates specific protein retrieval from a late endosome to the Golgi; modulates arginine uptake, possible role in mediating pH homeostasis between the vacuole and plasma membrane H(+)-ATPase; contributes to prion curing; preferentially expressed after severe ethanol stress
YHL021C	12627.6122520634	-5.87740066545886	0.141225252948121	-41.6172075656889	0.0	0.0	AIM17	Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss
YLR258W	6983.24039515253	-3.44461554570338	0.0738346589309179	-46.6530975503831	0.0	0.0	GSY2	Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase; GSY2 has a paralog, GSY1, that arose from the whole genome duplication; relocalizes from cytoplasm to plasma membrane upon DNA replication stress
YLR355C	23441.664330004	3.67597544637496	0.086375375647531	42.5581413547235	0.0	0.0	ILV5	Acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids
YNR002C	2846.00058780722	-4.53445809095602	0.116443300148777	-38.9413395632245	0.0	0.0	ATO2	Putative transmembrane protein involved in export of ammonia; ammonia is a starvation signal that promotes cell death in aging colonies; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family; homolog of Y. lipolytica Gpr1p; ATO2 has a paralog, ADY2, that arose from the whole genome duplication
YPR001W	2165.87335657123	-4.4244247848771	0.111674289791878	-39.6190098286964	0.0	0.0	CIT3	Dual specificity mitochondrial citrate and methylcitrate synthase; catalyzes the condensation of acetyl-CoA and oxaloacetate to form citrate and that of propionyl-CoA and oxaloacetate to form 2-methylcitrate
YHR137W	3566.03592202419	-5.76957168435675	0.159990454730868	-36.0619744100495	8.95269427148113e-285	5.31057546558313e-282	ARO9	Aromatic aminotransferase II; catalyzes the first step of tryptophan, phenylalanine, and tyrosine catabolism
YMR081C	4083.43883870449	-5.52000964683299	0.157780056327686	-34.9854713916994	3.7421529662284896e-268	2.03479567538674e-265	ISF1	Serine-rich, hydrophilic protein; overexpression suppresses growth defects of hap2, hap3, and hap4 mutants; expression is under glucose control; cotranscribed with NAM7 in a cyp1 mutant; ISF1 has a paralog, MBR1, that arose from the whole genome duplication
YNL173C	4523.86600961662	-2.90893821407283	0.0849135931713363	-34.2576271410781	3.3578784662599305e-257	1.68539669171893e-254	MDG1	Plasma membrane protein; involved in G-protein mediated pheromone signaling pathway; overproduction suppresses bem1 mutations; MDG1 has a paralog, CRP1, that arose from the whole genome duplication
YOR388C	1925.61399389992	-7.94913727139425	0.235319646035253	-33.7801684021035	3.85682739129415e-250	1.7975570520138802e-247	FDH1	NAD(+)-dependent formate dehydrogenase; may protect cells from exogenous formate
YBR072W	48436.3892829488	-7.59234039350173	0.225338279306402	-33.6930787652732	7.30053089453948e-249	3.17573093912467e-246	HSP26	Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity
YCR010C	11624.276711157	-7.94229657218842	0.236248734685483	-33.6183666031565	9.04371263990614e-248	3.68813906096172e-245	ADY2	Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication
YNL194C	3788.65371186288	-5.57486074760738	0.166452539501049	-33.4921940170955	6.261436195200489e-246	2.4032865396284297e-243	YNL194C	Integral membrane protein; required for sporulation and plasma membrane sphingolipid content; similar to SUR7; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; GFP-fusion protein is more abundant at MCCs (membrane compartment occupied by Can1) in the presence of glycerol and oleate; YNL194C has a paralog, FMP45, that arose from the whole genome duplication
YKL217W	8380.73627489764	-5.87500957546228	0.175750561066772	-33.4281127741619	5.354323973227581e-245	1.940942440295e-242	JEN1	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose
YJR008W	3173.2776160569	-3.80565641676707	0.115262853883091	-33.0171975494125	4.60174269185422e-239	1.58033531917625e-236	MHO1	Protein of unknown function; inhibits haploid invasive growth when overexpressed; synthetically lethal with phospholipase C (PLC1); expression induced by mild heat-stress on a non-fermentable carbon source, upon entry into stationary phase and upon nitrogen deprivation; repressed by inosine and choline in an Opi1p-dependent manner; highly conserved from bacteria to human; Memo, the human homolog, is an ErbB2 interacting protein with an essential function in cell motility
YCL040W	15241.4878047805	-3.57104686171657	0.112207398241355	-31.8254136330238	2.88167814282729e-222	9.40147494097403e-220	GLK1	Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication
